Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,2/6/2012,8:13:00,2/6/2012 8:13,2/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2012,,,
PND-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,2/6/2012,8:20:00,2/6/2012 8:20,2/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2012,,,
PND-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,2/6/2012,8:27:00,2/6/2012 8:27,2/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2012,,,
PND-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,2/6/2012,8:34:00,2/6/2012 8:34,2/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2012,,,
PND-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,2/6/2012,8:48:00,2/6/2012 8:48,2/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2012,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,2/6/2012,8:53:00,2/6/2012 8:53,2/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2012,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.14,mg/L,0.01,0.1,0.1,3/7/2012,11:12:00,3/7/2012 11:12,3/9/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for March 2012,,,
PND-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.037,mg/L,0.01,0.1,0.1,3/7/2012,11:18:00,3/7/2012 11:18,3/9/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for March 2012,,,
PND-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,3/7/2012,11:25:00,3/7/2012 11:25,3/9/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for March 2012,,,
PND-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,3/7/2012,11:33:00,3/7/2012 11:33,3/9/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for March 2012,,,
