Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
RSW-001,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.17,mg/L,,,,1/6/2011,10:45:00,1/6/2011 10:45,1/11/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  January 2011,37.8218,121.3735,Old River
EFF-001,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,3.5,mg/L,,,,1/6/2011,11:35:00,1/6/2011 11:35,1/11/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  January 2011,,,
RSW-005,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.085,mg/L,,,,2/3/2011,9:53:00,2/3/2011 9:53,2/11/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  February 2011,37.801,121.437,Old River
RSW-003,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.075,mg/L,,,,2/3/2011,10:47:00,2/3/2011 10:47,2/11/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  February 2011,37.8053,121.4025,Old River
RSW-002,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.071,mg/L,,,,2/3/2011,10:59:00,2/3/2011 10:59,2/11/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  February 2011,37.8057,121.3992,Old River
RSW-001,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.1,mg/L,,,,2/3/2011,11:12:00,2/3/2011 11:12,2/11/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  February 2011,37.8218,121.3735,Old River
EFF-001,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,2.8,mg/L,,,,2/3/2011,12:08:00,2/3/2011 12:08,2/11/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  February 2011,,,
RSW-006,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.081,mg/L,,,,2/3/2011,17:00:00,2/3/2011 17:00,2/11/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  February 2011,37.82,121.4428,Old River
RSW-005,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.1,mg/L,,,,3/22/2011,8:55:00,3/22/2011 8:55,3/25/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  March 2011,37.801,121.437,Old River
RSW-006,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.12,mg/L,,,,3/22/2011,9:11:00,3/22/2011 9:11,3/25/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  March 2011,37.82,121.4428,Old River
RSW-001,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.16,mg/L,,,,3/22/2011,9:32:00,3/22/2011 9:32,3/25/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  March 2011,37.8218,121.3735,Old River
RSW-002,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.17,mg/L,,,,3/22/2011,9:44:00,3/22/2011 9:44,3/25/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  March 2011,37.8057,121.3992,Old River
RSW-003,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.14,mg/L,,,,3/22/2011,9:54:00,3/22/2011 9:54,3/25/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  March 2011,37.8053,121.4025,Old River
EFF-001,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,2.7,mg/L,,,,3/22/2011,10:41:00,3/22/2011 10:41,3/25/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  March 2011,,,
RSW-005,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.12,mg/L,,,,4/5/2011,9:01:00,4/5/2011 9:01,4/7/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  April 2011,37.801,121.437,Old River
RSW-006,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.12,mg/L,,,,4/5/2011,9:28:00,4/5/2011 9:28,4/7/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  April 2011,37.82,121.4428,Old River
RSW-003,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.12,mg/L,,,,4/5/2011,9:44:00,4/5/2011 9:44,4/7/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  April 2011,37.8053,121.4025,Old River
RSW-002,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.12,mg/L,,,,4/5/2011,9:54:00,4/5/2011 9:54,4/7/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  April 2011,37.8057,121.3992,Old River
