Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
RGW-003,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,7/19/2012,9:48:00,7/19/2012 9:48,8/20/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,3.2,mg/L,0.01,0.1,0.1,7/20/2012,8:27:00,7/20/2012 8:27,8/21/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
RGW-005,Nitrite Plus Nitrate (as N),Data Unavailable,,=,7.3,mg/L,0.05,0.2,0.2,7/20/2012,11:10:00,7/20/2012 11:10,8/21/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
RGW-004,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,7/20/2012,11:50:00,7/20/2012 11:50,8/21/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
RGW-001,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.61,mg/L,0.1,0.1,0.1,10/11/2012,8:40:00,10/11/2012 8:40,10/29/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
RGW-002,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.14,mg/L,0.1,0.1,0.1,10/11/2012,9:35:00,10/11/2012 9:35,10/29/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
RGW-003,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,10/11/2012,10:25:00,10/11/2012 10:25,10/29/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,3.6,mg/L,0.5,0.2,0.2,10/12/2012,8:49:00,10/12/2012 8:49,11/19/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
RGW-005,Nitrite Plus Nitrate (as N),Data Unavailable,,=,5.6,mg/L,0.05,0.2,0.2,10/12/2012,9:42:00,10/12/2012 9:42,11/19/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
RGW-004,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,10/12/2012,10:23:00,10/12/2012 10:23,11/19/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
RGW-001,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.8,mg/L,0.1,0.1,0.1,1/10/2013,9:03:00,1/10/2013 9:03,2/11/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2013,,,
RGW-002,Nitrite Plus Nitrate (as N),Data Unavailable,,DNQ,0.064,mg/L,0.1,0.1,0.1,1/10/2013,10:15:00,1/10/2013 10:15,2/11/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2013,,,
RGW-003,Nitrite Plus Nitrate (as N),Data Unavailable,,DNQ,0.047,mg/L,0.1,0.1,0.1,1/10/2013,12:04:00,1/10/2013 12:04,2/11/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2013,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,2.5,mg/L,0.1,0.1,0.1,1/11/2013,8:47:00,1/11/2013 8:47,2/11/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2013,,,
RGW-005,Nitrite Plus Nitrate (as N),Data Unavailable,,=,5.6,mg/L,0.1,0.1,0.1,1/11/2013,9:45:00,1/11/2013 9:45,2/11/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2013,,,
RGW-004,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,1/11/2013,10:30:00,1/11/2013 10:30,2/11/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2013,,,
RGW-001,Nitrite Plus Nitrate (as N),Data Unavailable,,=,1.2,mg/L,0.01,0.1,0.1,5/9/2013,10:07:00,5/9/2013 10:07,6/17/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2013,,,
RGW-002,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.01,0.1,0.1,5/9/2013,11:46:00,5/9/2013 11:46,6/11/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2013,,,
RGW-003,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.01,0.1,0.1,5/9/2013,12:47:00,5/9/2013 12:47,6/11/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2013,,,
RGW-004,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.01,0.1,0.1,5/10/2013,11:10:00,5/10/2013 11:10,6/11/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2013,,,
RGW-005,Nitrite Plus Nitrate (as N),Data Unavailable,,=,6.2,mg/L,0.02,0.1,0.1,5/10/2013,12:28:00,5/10/2013 12:28,6/11/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2013,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,1.4,mg/L,0.01,0.1,0.1,5/10/2013,14:25:00,5/10/2013 14:25,6/11/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2013,,,
RGW-001,Nitrite Plus Nitrate (as N),Data Unavailable,,=,1.1,mg/L,0.1,0.1,0.1,7/17/2013,9:56:00,7/17/2013 9:56,8/2/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2013,,,
RGW-002,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.11,mg/L,0.1,0.1,0.1,7/17/2013,11:21:00,7/17/2013 11:21,8/2/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2013,,,
RGW-003,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,7/17/2013,12:27:00,7/17/2013 12:27,8/2/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2013,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,2.5,mg/L,0.1,0.1,0.1,7/18/2013,9:51:00,7/18/2013 9:51,8/8/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2013,,,
RGW-005,Nitrite Plus Nitrate (as N),Data Unavailable,,=,6.1,mg/L,0.1,0.1,0.1,7/18/2013,10:43:00,7/18/2013 10:43,8/8/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2013,,,
RGW-004,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,7/18/2013,11:29:00,7/18/2013 11:29,8/8/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2013,,,
RGW-001,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.12,mg/L,0.1,0.1,0.1,10/16/2013,8:57:00,10/16/2013 8:57,10/29/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2013,,,
RGW-002,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.23,mg/L,0.1,0.1,0.1,10/16/2013,10:19:00,10/16/2013 10:19,10/29/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2013,,,
RGW-003,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,10/16/2013,12:16:00,10/16/2013 12:16,10/29/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2013,,,
RGW-004,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,10/17/2013,9:57:00,10/17/2013 9:57,11/12/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2013,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,2.8,mg/L,0.1,0.1,0.1,10/17/2013,11:27:00,10/17/2013 11:27,11/12/2013,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2013,,,
