Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/8/2010,6:50:00,9/8/2010 6:50,9/8/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/9/2010,6:45:00,9/9/2010 6:45,9/9/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
RSW-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.7,mg/L,,,,9/9/2010,9:24:00,9/9/2010 9:24,9/9/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.801,121.437,Old River
RSW-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.9,mg/L,,,,9/9/2010,9:53:00,9/9/2010 9:53,9/9/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.82,121.4428,Old River
RSW-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.7,mg/L,,,,9/9/2010,10:09:00,9/9/2010 10:09,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8053,121.4025,Old River
RSW-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.6,mg/L,,,,9/9/2010,10:23:00,9/9/2010 10:23,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8057,121.3992,Old River
RSW-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.7,mg/L,,,,9/9/2010,10:40:00,9/9/2010 10:40,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8218,121.3735,Old River
EFF-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,6.2,mg/L,,,,9/9/2010,13:01:00,9/9/2010 13:01,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,430,lb/day,,,,9/9/2010,13:01:00,9/9/2010 13:01,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/10/2010,7:10:00,9/10/2010 7:10,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/11/2010,7:56:00,9/11/2010 7:56,9/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/12/2010,7:19:00,9/12/2010 7:19,9/12/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/13/2010,6:35:00,9/13/2010 6:35,9/13/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/14/2010,7:10:00,9/14/2010 7:10,9/14/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
RSW-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.5,mg/L,,,,9/14/2010,7:55:00,9/14/2010 7:55,9/14/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.801,121.437,Old River
RSW-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.5,mg/L,,,,9/14/2010,8:14:00,9/14/2010 8:14,9/14/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.82,121.4428,Old River
RSW-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.5,mg/L,,,,9/14/2010,8:22:00,9/14/2010 8:22,9/15/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8053,121.4025,Old River
