analyte,year,month,site,value
TKN_kgN_per_day,2015,10.0,Delta Diablo,261.571136475
TKN_kgN_per_day,2015,11.0,Delta Diablo,733.799804688
TKN_kgN_per_day,2015,12.0,Delta Diablo,772.032348633
TKN_kgN_per_day,2016,1.0,Delta Diablo,883.512390137
TKN_kgN_per_day,2016,2.0,Delta Diablo,979.661499023
TKN_kgN_per_day,2016,3.0,Delta Diablo,1673.33605957
TKN_kgN_per_day,2016,4.0,Delta Diablo,1131.45605469
TKN_kgN_per_day,2016,5.0,Delta Diablo,1086.40979004
TKN_kgN_per_day,2016,6.0,Delta Diablo,1095.87329102
NOx_kgN_per_day,2012,7.0,Delta Diablo,476.034301758
NOx_kgN_per_day,2012,8.0,Delta Diablo,700.921630859
NOx_kgN_per_day,2012,9.0,Delta Diablo,959.176879883
NOx_kgN_per_day,2012,10.0,Delta Diablo,1198.71740723
NOx_kgN_per_day,2012,11.0,Delta Diablo,1353.72570801
NOx_kgN_per_day,2012,12.0,Delta Diablo,990.958496094
NOx_kgN_per_day,2013,1.0,Delta Diablo,966.57623291
NOx_kgN_per_day,2013,2.0,Delta Diablo,1083.93896484
NOx_kgN_per_day,2013,3.0,Delta Diablo,581.779785156
NOx_kgN_per_day,2013,4.0,Delta Diablo,436.694335938
NOx_kgN_per_day,2013,5.0,Delta Diablo,1143.28747559
NOx_kgN_per_day,2013,6.0,Delta Diablo,995.353393555
NOx_kgN_per_day,2013,7.0,Delta Diablo,868.28112793
NOx_kgN_per_day,2013,8.0,Delta Diablo,849.628723145
NOx_kgN_per_day,2013,9.0,Delta Diablo,766.548095703
NOx_kgN_per_day,2013,10.0,Delta Diablo,811.564086914
NOx_kgN_per_day,2013,11.0,Delta Diablo,778.247192383
NOx_kgN_per_day,2013,12.0,Delta Diablo,962.520324707
NOx_kgN_per_day,2014,1.0,Delta Diablo,989.896972656
NOx_kgN_per_day,2014,2.0,Delta Diablo,384.563354492
NOx_kgN_per_day,2014,3.0,Delta Diablo,558.633605957
NOx_kgN_per_day,2014,4.0,Delta Diablo,766.699279785
NOx_kgN_per_day,2014,5.0,Delta Diablo,596.071960449
NOx_kgN_per_day,2014,6.0,Delta Diablo,498.018768311
NOx_kgN_per_day,2014,7.0,Delta Diablo,982.45501709
NOx_kgN_per_day,2014,8.0,Delta Diablo,1016.23999023
NOx_kgN_per_day,2014,9.0,Delta Diablo,942.164978027
NOx_kgN_per_day,2014,10.0,Delta Diablo,725.010009766
NOx_kgN_per_day,2014,11.0,Delta Diablo,633.08001709
NOx_kgN_per_day,2014,12.0,Delta Diablo,488.304992676
NOx_kgN_per_day,2015,1.0,Delta Diablo,595.364990234
NOx_kgN_per_day,2015,2.0,Delta Diablo,537.929992676
NOx_kgN_per_day,2015,3.0,Delta Diablo,341.445007324
NOx_kgN_per_day,2015,4.0,Delta Diablo,167.11000061
NOx_kgN_per_day,2015,5.0,Delta Diablo,73.7549972534
NOx_kgN_per_day,2015,6.0,Delta Diablo,141.625
NOx_kgN_per_day,2015,7.0,Delta Diablo,92.7025527954
NOx_kgN_per_day,2015,8.0,Delta Diablo,1.43239533901
NOx_kgN_per_day,2015,9.0,Delta Diablo,786.984680176
NOx_kgN_per_day,2015,10.0,Delta Diablo,1008.05200195
NOx_kgN_per_day,2015,11.0,Delta Diablo,874.616699219
NOx_kgN_per_day,2015,12.0,Delta Diablo,827.677734375
NOx_kgN_per_day,2016,1.0,Delta Diablo,1114.04321289
NOx_kgN_per_day,2016,2.0,Delta Diablo,834.302185059
NOx_kgN_per_day,2016,3.0,Delta Diablo,256.233734131
