Permit Title,Description,Pollutant,Date,Month,Year ,Value,Unit
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/1/1999,1,1999,8.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/2/1999,1,1999,8.8,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/3/1999,1,1999,9.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/4/1999,1,1999,8.9,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/5/1999,1,1999,9,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/6/1999,1,1999,9,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/7/1999,1,1999,8.1,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/8/1999,1,1999,10,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/9/1999,1,1999,9.4,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/10/1999,1,1999,9.6,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/11/1999,1,1999,9.1,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/12/1999,1,1999,9.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/13/1999,1,1999,9.6,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/14/1999,1,1999,9.8,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/15/1999,1,1999,9.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/16/1999,1,1999,9.7,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/17/1999,1,1999,9.3,mgd
