PermitTitle,Description,Pollutant,Date,Month,Year,Value,Unit
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/30/2009,1,2009,2.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/30/2009,1,2009,1.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/31/2009,1,2009,6.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/31/2009,1,2009,2.46,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/31/2009,1,2009,1.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/1/2009,2,2009,5.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/1/2009,2,2009,2.48,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/1/2009,2,2009,1.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/2/2009,2,2009,6.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/2/2009,2,2009,2.45,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/2/2009,2,2009,1.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/3/2009,2,2009,5.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/3/2009,2,2009,2.43,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/3/2009,2,2009,1.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/4/2009,2,2009,7.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/4/2009,2,2009,2.53,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/4/2009,2,2009,1.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/5/2009,2,2009,12,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/5/2009,2,2009,3.58,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/5/2009,2,2009,2.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/6/2009,2,2009,11.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/6/2009,2,2009,4.71,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/6/2009,2,2009,4.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/7/2009,2,2009,8.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/7/2009,2,2009,4.36,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/7/2009,2,2009,3.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/8/2009,2,2009,9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/8/2009,2,2009,4.27,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/8/2009,2,2009,3.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/9/2009,2,2009,8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/9/2009,2,2009,3.98,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/9/2009,2,2009,3.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/10/2009,2,2009,9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/10/2009,2,2009,3.99,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/10/2009,2,2009,4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/11/2009,2,2009,8.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/11/2009,2,2009,4.59,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/11/2009,2,2009,3.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/12/2009,2,2009,11.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/12/2009,2,2009,5.57,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/12/2009,2,2009,4.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/13/2009,2,2009,13.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/13/2009,2,2009,7.65,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/13/2009,2,2009,6.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/14/2009,2,2009,12,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/14/2009,2,2009,6.68,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/14/2009,2,2009,5.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/15/2009,2,2009,28.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/15/2009,2,2009,16.32,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/15/2009,2,2009,14.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/16/2009,2,2009,18.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/16/2009,2,2009,10.16,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/16/2009,2,2009,8.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/17/2009,2,2009,14,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/17/2009,2,2009,7.84,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/17/2009,2,2009,6.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/18/2009,2,2009,8.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/18/2009,2,2009,6.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/18/2009,2,2009,4.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/19/2009,2,2009,10.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/19/2009,2,2009,3.57,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/19/2009,2,2009,4.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/20/2009,2,2009,8.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/20/2009,2,2009,4.22,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/20/2009,2,2009,3.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/21/2009,2,2009,9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/21/2009,2,2009,4.33,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/21/2009,2,2009,3.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/22/2009,2,2009,20.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/22/2009,2,2009,11.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/22/2009,2,2009,10.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/23/2009,2,2009,13.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/23/2009,2,2009,7.38,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/23/2009,2,2009,7.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/24/2009,2,2009,12.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/24/2009,2,2009,6.41,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/24/2009,2,2009,4.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/25/2009,2,2009,9.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/25/2009,2,2009,6.96,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/25/2009,2,2009,5.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/26/2009,2,2009,11.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/26/2009,2,2009,6.69,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/26/2009,2,2009,5.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/27/2009,2,2009,9.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/27/2009,2,2009,5.72,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/27/2009,2,2009,4.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,2/28/2009,2,2009,7.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,2/28/2009,2,2009,5.49,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,2/28/2009,2,2009,4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/1/2009,3,2009,9.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/1/2009,3,2009,5.99,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/1/2009,3,2009,5.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/2/2009,3,2009,14,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/2/2009,3,2009,7.61,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/2/2009,3,2009,5.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/3/2009,3,2009,12.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/3/2009,3,2009,8.06,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/3/2009,3,2009,6.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/4/2009,3,2009,10.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/4/2009,3,2009,10.33,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/4/2009,3,2009,6.6,mgd
