SAMPLENUM,SITE,LOCATOR,CDATE,Month,Year,TIME,SAMTYPE,PARM_STORED,QUAL,NUMVALUE,UNITS,MDLVALUE,METHODREF,COMMENTS
L153869-4,WWTP EFFLUENT,EFF EPS LAB,8/4/2009,8,2009,8:35:00 AM,GRAB,AMMONIA AS N,,33.9,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank #2
L153869-3,WWTP EFFLUENT,EFF EPS LAB,8/4/2009,8,2009,8:35:00 AM,GRAB,AMMONIA AS N,,34.2,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank #1
L153869-5,WWTP EFFLUENT,EFF EPS LAB,8/5/2009,8,2009,8:25:00 AM,GRAB,AMMONIA AS N,,37,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank #1
L153869-6,WWTP EFFLUENT,EFF EPS LAB,8/5/2009,8,2009,8:25:00 AM,GRAB,AMMONIA AS N,,39.3,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank #2
L153869-7,WWTP EFFLUENT,EFF EPS LAB,8/6/2009,8,2009,9:25:00 AM,GRAB,AMMONIA AS N,,37.4,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank #1
L153869-8,WWTP EFFLUENT,EFF EPS LAB,8/6/2009,8,2009,9:25:00 AM,GRAB,AMMONIA AS N,,34.9,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank #2
L153963-2,WWTP EFFLUENT,EFF EPS 04,8/6/2009,8,2009,12:00:00 PM,CF01,AMMONIA AS N,,36.4,mg/L,0.3,"SM(20)4500-NH3 B,C","TH, merged mode"
L153869-10,WWTP EFFLUENT,EFF EPS LAB,8/7/2009,8,2009,1:00:00 AM,GRAB,AMMONIA AS N,,33.9,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank #2
L153869-9,WWTP EFFLUENT,EFF EPS LAB,8/7/2009,8,2009,1:00:00 AM,GRAB,AMMONIA AS N,,35.6,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank #1
L154281-2,WWTP EFFLUENT,EFF EPS 04,8/19/2009,8,2009,12:00:00 PM,CF01,AMMONIA AS N,,40,mg/L,0.3,"SM(20)4500-NH3 B,C","Tu, We, F merged mode; Low Volume sample."
L154624-2,WWTP EFFLUENT,EFF EPS 04,9/3/2009,9,2009,12:00:00 PM,CF01,AMMONIA AS N,,40,mg/L,0.3,"SM(20)4500-NH3 B,C","TH, merged mode"
L154832-2,WWTP EFFLUENT,EFF EPS LAB,9/14/2009,9,2009,11:30:00 AM,GRAB,AMMONIA AS N,,30,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  1 & 2     day# 0
L154832-3,WWTP EFFLUENT,EFF EPS LAB,9/15/2009,9,2009,8:35:00 AM,GRAB,AMMONIA AS N,,33.6,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day# 1
L154832-4,WWTP EFFLUENT,EFF EPS LAB,9/15/2009,9,2009,8:35:00 AM,GRAB,AMMONIA AS N,,33.5,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-2   day# 1
L154832-5,WWTP EFFLUENT,EFF EPS LAB,9/16/2009,9,2009,7:55:00 AM,GRAB,AMMONIA AS N,,46.5,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1       day# 2
L154832-6,WWTP EFFLUENT,EFF EPS LAB,9/16/2009,9,2009,7:55:00 AM,GRAB,AMMONIA AS N,,47,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2   day# 2
L154832-7,WWTP EFFLUENT,EFF EPS LAB,9/17/2009,9,2009,8:05:00 AM,GRAB,AMMONIA AS N,,45.6,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-1   day#3
L154832-8,WWTP EFFLUENT,EFF EPS LAB,9/17/2009,9,2009,8:05:00 AM,GRAB,AMMONIA AS N,,45.2,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2    day#3
L154832-10,WWTP EFFLUENT,EFF EPS LAB,9/18/2009,9,2009,1:15:00 AM,GRAB,AMMONIA AS N,,45.4,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2    day#4
L154832-9,WWTP EFFLUENT,EFF EPS LAB,9/18/2009,9,2009,1:15:00 AM,GRAB,AMMONIA AS N,,45.2,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day#4
L155060-2,WWTP EFFLUENT,EFF EPS 04,9/23/2009,9,2009,12:00:00 PM,CF01,AMMONIA AS N,,37,mg/L,0.3,"SM(20)4500-NH3 B,C",2nd monthly ammonia sample pour off at time of receipt.
L155289-2,WWTP EFFLUENT,EFF EPS LAB,10/7/2009,10,2009,5:45:00 AM,GRAB,AMMONIA AS N,,36.4,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank 1 and 2 combined. See L155377-1 for monthly bioassay result.
L155289-3,WWTP EFFLUENT,EFF EPS LAB,10/8/2009,10,2009,9:20:00 AM,GRAB,AMMONIA AS N,,43,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank 1
L155289-4,WWTP EFFLUENT,EFF EPS LAB,10/8/2009,10,2009,9:20:00 AM,GRAB,AMMONIA AS N,,42.3,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank  2
L155379-2,WWTP EFFLUENT,EFF EPS 04,10/8/2009,10,2009,12:00:00 PM,CF01,AMMONIA AS N,,40,mg/L,0.3,"SM(20)4500-NH3 B,C",EFF Monthly NPDES; METALS and Ammonia sample poured off at Sample Control in PLSTL at time of sample receipt; Add SIP-200.8 Be in Feb and Aug
L155289-5,WWTP EFFLUENT,EFF EPS LAB,10/9/2009,10,2009,8:35:00 AM,GRAB,AMMONIA AS N,,43.8,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank 1
L155289-6,WWTP EFFLUENT,EFF EPS LAB,10/9/2009,10,2009,8:35:00 AM,GRAB,AMMONIA AS N,,44.2,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank 2
L155289-8,WWTP EFFLUENT,EFF EPS LAB,10/10/2009,10,2009,5:00:00 AM,GRAB,AMMONIA AS N,,42.6,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank 2
L155289-7,WWTP EFFLUENT,EFF EPS LAB,10/10/2009,10,2009,5:00:00 AM,GRAB,AMMONIA AS N,,42,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank 1
L155289-10,WWTP EFFLUENT,EFF EPS LAB,10/11/2009,10,2009,3:15:00 AM,GRAB,AMMONIA AS N,,42.8,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank  2
L155289-9,WWTP EFFLUENT,EFF EPS LAB,10/11/2009,10,2009,3:15:00 AM,GRAB,AMMONIA AS N,,43.7,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank 1
L155763-2,WWTP EFFLUENT,EFF EPS 04,10/23/2009,10,2009,12:00:00 PM,CF01,AMMONIA AS N,,31.2,mg/L,0.3,"SM(20)4500-NH3 B,C",2nd monthly ammonia sample pour off at time of receipt.
L155936-2,WWTP EFFLUENT,EFF EPS LAB,11/2/2009,11,2009,4:40:00 AM,GRAB,AMMONIA AS N,,37.7,mg/L,0.3,"SM(20)4500-NH3 B,C","test species changed to rainbow trout as of Jan 03,TANK#1&2"
L155936-4,WWTP EFFLUENT,EFF EPS LAB,11/3/2009,11,2009,8:20:00 AM,GRAB,AMMONIA AS N,,39.2,mg/L,0.3,"SM(20)4500-NH3 B,C","test species changed to rainbow trout as of Jan 03,TANK#2"
L155936-3,WWTP EFFLUENT,EFF EPS LAB,11/3/2009,11,2009,8:20:00 AM,GRAB,AMMONIA AS N,,38.6,mg/L,0.3,"SM(20)4500-NH3 B,C","test species changed to rainbow trout as of Jan 03,TANK#1"
L155936-6,WWTP EFFLUENT,EFF EPS LAB,11/4/2009,11,2009,10:00:00 AM,GRAB,AMMONIA AS N,,39.3,mg/L,0.3,"SM(20)4500-NH3 B,C","test species changed to rainbow trout as of Jan 03,TANK#2"
L155936-5,WWTP EFFLUENT,EFF EPS LAB,11/4/2009,11,2009,10:00:00 AM,GRAB,AMMONIA AS N,,40.7,mg/L,0.3,"SM(20)4500-NH3 B,C","test species changed to rainbow trout as of Jan 03,TANK#1"
L155936-7,WWTP EFFLUENT,EFF EPS LAB,11/5/2009,11,2009,9:00:00 AM,GRAB,AMMONIA AS N,,35.6,mg/L,0.3,"SM(20)4500-NH3 B,C","test species changed to rainbow trout as of Jan 03,TANK#1"
L155936-8,WWTP EFFLUENT,EFF EPS LAB,11/5/2009,11,2009,9:00:00 AM,GRAB,AMMONIA AS N,,37.2,mg/L,0.3,"SM(20)4500-NH3 B,C","test species changed to rainbow trout as of Jan 03,TANK#2"
L156004-2,WWTP EFFLUENT,EFF EPS 04,11/5/2009,11,2009,12:00:00 PM,CF01,AMMONIA AS N,,34.4,mg/L,0.3,"SM(20)4500-NH3 B,C",EFF Monthly NPDES; METALS and Ammonia sample poured off at Sample Control in PLSTL at time of sample receipt; Add SIP-200.8 Be in Feb and Aug
L155936-10,WWTP EFFLUENT,EFF EPS LAB,11/6/2009,11,2009,8:45:00 AM,GRAB,AMMONIA AS N,,37.9,mg/L,0.3,"SM(20)4500-NH3 B,C","test species changed to rainbow trout as of Jan 03,TANK#2"
L155936-9,WWTP EFFLUENT,EFF EPS LAB,11/6/2009,11,2009,8:45:00 AM,GRAB,AMMONIA AS N,,37.5,mg/L,0.3,"SM(20)4500-NH3 B,C","test species changed to rainbow trout as of Jan 03,TANK#1"
L156226-2,WWTP EFFLUENT,EFF EPS 04,11/17/2009,11,2009,12:00:00 PM,CF01,AMMONIA AS N,,40.6,mg/L,0.3,"SM(20)4500-NH3 B,C",2nd monthly ammonia sample pour off at time of receipt.
L156255-1,WWTP EFFLUENT,EFF DECHLOR,11/18/2009,11,2009,11:03:00 AM,CFV,AMMONIA AS N,,42.6,mg/L,0.3,"SM(20)4500-NH3 B,C",
L156536-2,WWTP EFFLUENT,EFF EPS 04,12/3/2009,12,2009,12:00:00 PM,CF01,AMMONIA AS N,,23.8,mg/L,0.3,"SM(20)4500-NH3 B,C",EFF Monthly NPDES; METALS and Ammonia sample poured off at Sample Control in PLSTL at time of sample receipt; Add SIP-200.8 Be in Feb and Aug
L156606-2,WWTP EFFLUENT,EFF EPS LAB,12/7/2009,12,2009,10:30:00 AM,GRAB,AMMONIA AS N,,26.3,mg/L,0.3,"SM(20)4500-NH3 B,C","Day 0, Tank 1 & 2"
L156606-3,WWTP EFFLUENT,EFF EPS LAB,12/8/2009,12,2009,10:03:00 AM,GRAB,AMMONIA AS N,,28.4,mg/L,0.3,"SM(20)4500-NH3 B,C","Day 1, Tank 1"
L156606-4,WWTP EFFLUENT,EFF EPS LAB,12/8/2009,12,2009,10:03:00 AM,GRAB,AMMONIA AS N,,28.3,mg/L,0.3,"SM(20)4500-NH3 B,C","Day 1, Tank 2"
L156606-5,WWTP EFFLUENT,EFF EPS LAB,12/9/2009,12,2009,9:00:00 AM,GRAB,AMMONIA AS N,,43.8,mg/L,0.3,"SM(20)4500-NH3 B,C","Day 2, Tank 1"
L156606-6,WWTP EFFLUENT,EFF EPS LAB,12/9/2009,12,2009,9:00:00 AM,GRAB,AMMONIA AS N,,44.9,mg/L,0.3,"SM(20)4500-NH3 B,C","Day 2, Tank 2"
L156606-7,WWTP EFFLUENT,EFF EPS LAB,12/10/2009,12,2009,8:30:00 AM,GRAB,AMMONIA AS N,,48.6,mg/L,0.3,"SM(20)4500-NH3 B,C","Day 3, Tank 1"
L156606-8,WWTP EFFLUENT,EFF EPS LAB,12/10/2009,12,2009,8:30:00 AM,GRAB,AMMONIA AS N,,49.3,mg/L,0.3,"SM(20)4500-NH3 B,C","Day 3, Tank 2"
L156606-9,WWTP EFFLUENT,EFF EPS LAB,12/11/2009,12,2009,9:50:00 AM,GRAB,AMMONIA AS N,,41.6,mg/L,0.3,"SM(20)4500-NH3 B,C","Day 4, Tank 1"
L156606-10,WWTP EFFLUENT,EFF EPS LAB,12/11/2009,12,2009,9:50:00 AM,GRAB,AMMONIA AS N,,42,mg/L,0.3,"SM(20)4500-NH3 B,C","Day 4, Tank 2"
L156775-2,WWTP EFFLUENT,EFF EPS 04,12/14/2009,12,2009,12:00:00 PM,CF01,AMMONIA AS N,,22.7,mg/L,0.3,"SM(20)4500-NH3 B,C",2nd monthly ammonia sample pour off at time of receipt.
L157153-2,WWTP EFFLUENT,EFF EPS LAB,1/4/2010,1,2010,3:20:00 AM,GRAB,AMMONIA AS N,,36.6,mg/L,0.3,"SM(20)4500-NH3 B,C",Tank 1 & 2 combined  day# 0
L157153-4,WWTP EFFLUENT,EFF EPS LAB,1/5/2010,1,2010,10:00:00 AM,GRAB,AMMONIA AS N,,39.6,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-2    day# 1
L157153-3,WWTP EFFLUENT,EFF EPS LAB,1/5/2010,1,2010,10:00:00 AM,GRAB,AMMONIA AS N,,39.1,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day# 1
L157153-5,WWTP EFFLUENT,EFF EPS LAB,1/6/2010,1,2010,7:45:00 AM,GRAB,AMMONIA AS N,,39.8,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day# 2
L157153-6,WWTP EFFLUENT,EFF EPS LAB,1/6/2010,1,2010,9:45:00 AM,GRAB,AMMONIA AS N,,38.9,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-2     day# 2
L157153-7,WWTP EFFLUENT,EFF EPS LAB,1/7/2010,1,2010,8:00:00 AM,GRAB,AMMONIA AS N,,39.8,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day# 3
L157153-8,WWTP EFFLUENT,EFF EPS LAB,1/7/2010,1,2010,8:00:00 AM,GRAB,AMMONIA AS N,,38.9,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-2     day# 3
L157222-2,WWTP EFFLUENT,EFF EPS 04,1/7/2010,1,2010,12:00:00 PM,CF01,AMMONIA AS N,,36.7,mg/L,0.3,"SM(20)4500-NH3 B,C",EFF Monthly NPDES; METALS and Ammonia sample poured off at Sample Control in PLSTL at time of sample receipt; Add SIP-200.8 Be in Feb and Aug
L157153-9,WWTP EFFLUENT,EFF EPS LAB,1/8/2010,1,2010,7:40:00 AM,GRAB,AMMONIA AS N,,41.2,mg/L,37.5,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day# 4
L157153-10,WWTP EFFLUENT,EFF EPS LAB,1/8/2010,1,2010,7:40:00 AM,GRAB,AMMONIA AS N,,39.5,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-2     day# 4
L157161-40,WWTP EFFLUENT,EFF EPS 04,1/12/2010,1,2010,3:15:00 AM,GRAB,AMMONIA AS N,,43.7,mg/L,0.3,"SM(20)4500-NH3 B,C",Effluent grab 1/12/08 15:15
L157161-39,WWTP EFFLUENT,EFF EPS 04,1/12/2010,1,2010,9:30:00 AM,GRAB,AMMONIA AS N,,44.5,mg/L,0.3,"SM(20)4500-NH3 B,C",Effluent grab 1/12/08 09:30
L157441-2,WWTP EFFLUENT,EFF EPS 04,1/19/2010,1,2010,12:00:00 PM,CF01,AMMONIA AS N,,23.4,mg/L,0.3,"SM(20)4500-NH3 B,C",2nd monthly ammonia sample pour off at time of receipt. 8L Jug was filled to the top.
L157845-1,WWTP EFFLUENT,EFF EPS LAB,2/1/2010,2,2010,11:20:00 AM,GRAB,AMMONIA AS N,,24.9,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  combined     day# 0
L157845-3,WWTP EFFLUENT,EFF EPS LAB,2/2/2010,2,2010,8:45:00 AM,GRAB,AMMONIA AS N,,28,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-2   day# 1
L157845-2,WWTP EFFLUENT,EFF EPS LAB,2/2/2010,2,2010,8:45:00 AM,GRAB,AMMONIA AS N,,27.7,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day# 1
L157845-4,WWTP EFFLUENT,EFF EPS LAB,2/3/2010,2,2010,8:50:00 AM,GRAB,AMMONIA AS N,,33.9,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1       day# 2
L157845-5,WWTP EFFLUENT,EFF EPS LAB,2/3/2010,2,2010,8:50:00 AM,GRAB,AMMONIA AS N,,34.2,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2   day# 2
L157845-6,WWTP EFFLUENT,EFF EPS LAB,2/4/2010,2,2010,9:10:00 AM,GRAB,AMMONIA AS N,,32.5,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-1   day#3
L157845-7,WWTP EFFLUENT,EFF EPS LAB,2/4/2010,2,2010,9:10:00 AM,GRAB,AMMONIA AS N,,33.7,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2    day#3
L157805-2,WWTP EFFLUENT,EFF EPS 04,2/4/2010,2,2010,12:00:00 PM,CF01,AMMONIA AS N,,31.9,mg/L,0.3,"SM(20)4500-NH3 B,C",EFF Monthly NPDES; METALS and Ammonia sample poured off at Sample Control in PLSTL at time of sample receipt; Add SIP-200.8 Be in Feb and Aug
L157845-9,WWTP EFFLUENT,EFF EPS LAB,2/5/2010,2,2010,10:00:00 AM,GRAB,AMMONIA AS N,,22.1,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2    day#4
L157845-8,WWTP EFFLUENT,EFF EPS LAB,2/5/2010,2,2010,10:00:00 AM,GRAB,AMMONIA AS N,,22.7,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day#4
L158112-2,WWTP EFFLUENT,EFF EPS 04,2/19/2010,2,2010,12:00:00 PM,CF01,AMMONIA AS N,,22.7,mg/L,0.3,"SM(20)4500-NH3 B,C",2nd monthly ammonia sample pour off at time of receipt.
L158289-2,WWTP EFFLUENT,EFF EPS LAB,3/1/2010,3,2010,1:00:00 AM,GRAB,AMMONIA AS N,,31.5,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  1#2    day# 0
L158289-4,WWTP EFFLUENT,EFF EPS LAB,3/2/2010,3,2010,8:44:00 AM,GRAB,AMMONIA AS N,,32.1,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-2   day# 1
L158289-3,WWTP EFFLUENT,EFF EPS LAB,3/2/2010,3,2010,8:44:00 AM,GRAB,AMMONIA AS N,,32.9,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day# 1
L158289-5,WWTP EFFLUENT,EFF EPS LAB,3/3/2010,3,2010,9:35:00 AM,GRAB,AMMONIA AS N,,25.6,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1       day# 2
L158289-6,WWTP EFFLUENT,EFF EPS LAB,3/3/2010,3,2010,9:35:00 AM,GRAB,AMMONIA AS N,,25.8,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2   day# 2
L158289-8,WWTP EFFLUENT,EFF EPS LAB,3/4/2010,3,2010,9:35:00 AM,GRAB,AMMONIA AS N,,14.6,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2    day#3
L158289-7,WWTP EFFLUENT,EFF EPS LAB,3/4/2010,3,2010,9:35:00 AM,GRAB,AMMONIA AS N,,14.3,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-1   day#3
L158370-2,WWTP EFFLUENT,EFF EPS 04,3/4/2010,3,2010,12:00:00 PM,CF01,AMMONIA AS N,,12.9,mg/L,0.3,"SM(20)4500-NH3 B,C",EFF Monthly NPDES; METALS and Ammonia sample poured off at Sample Control in PLSTL at time of sample receipt; Add SIP-200.8 Be in Feb and Aug
L158289-9,WWTP EFFLUENT,EFF EPS LAB,3/5/2010,3,2010,11:00:00 AM,GRAB,AMMONIA AS N,,23.2,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day#4
L158289-10,WWTP EFFLUENT,EFF EPS LAB,3/5/2010,3,2010,11:00:00 AM,GRAB,AMMONIA AS N,,23,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2    day#4
L158498-2,WWTP EFFLUENT,EFF EPS 04,3/10/2010,3,2010,12:00:00 PM,TSP,AMMONIA AS N,,30,mg/L,0.6,"SM(20)4500-NH3 B,C",Samples pourd off from 8-liter composite container: L158497-2
L158498-2,WWTP EFFLUENT,EFF EPS 04,3/10/2010,3,2010,12:00:00 PM,TSP,AMMONIA AS N,,30,mg/L,0.6,EPA 350.2: DISSOLVED (0.45UM),Samples pourd off from 8-liter composite container: L158497-2
L158540-2,WWTP EFFLUENT,EFF EPS 04,3/11/2010,3,2010,12:00:00 PM,TSP,AMMONIA AS N,,29.1,mg/L,0.6,"SM(20)4500-NH3 B,C",Samples pourd off from 8-liter composite container: L158538-2
L158540-2,WWTP EFFLUENT,EFF EPS 04,3/11/2010,3,2010,12:00:00 PM,TSP,AMMONIA AS N,,29.1,mg/L,0.6,EPA 350.2: DISSOLVED (0.45UM),Samples pourd off from 8-liter composite container: L158538-2
L158574-2,WWTP EFFLUENT,EFF EPS 04,3/12/2010,3,2010,12:00:00 PM,TSP,AMMONIA AS N,,34.4,mg/L,0.6,"SM(20)4500-NH3 B,C",Samples pourd off from 8-liter composite container
L158574-2,WWTP EFFLUENT,EFF EPS 04,3/12/2010,3,2010,12:00:00 PM,TSP,AMMONIA AS N,,34.7,mg/L,0.6,EPA 350.2: DISSOLVED (0.45UM),Samples pourd off from 8-liter composite container
L158650-2,WWTP EFFLUENT,EFF EPS 04,3/17/2010,3,2010,12:00:00 PM,CF01,AMMONIA AS N,,27.7,mg/L,0.3,"SM(20)4500-NH3 B,C",2nd monthly ammonia sample pour off at time of receipt.
L158965-2,WWTP EFFLUENT,EFF EPS LAB,4/5/2010,4,2010,12:25:00 PM,GRAB,AMMONIA AS N,,18.5,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1 & e-2 combined     day# 0
L158965-4,WWTP EFFLUENT,EFF EPS LAB,4/6/2010,4,2010,8:30:00 AM,GRAB,AMMONIA AS N,,26.3,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-2   day# 1
L158965-3,WWTP EFFLUENT,EFF EPS LAB,4/6/2010,4,2010,8:30:00 AM,GRAB,AMMONIA AS N,,25.6,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day# 1
L158965-6,WWTP EFFLUENT,EFF EPS LAB,4/7/2010,4,2010,8:30:00 AM,GRAB,AMMONIA AS N,,26.6,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2   day# 2
L158965-5,WWTP EFFLUENT,EFF EPS LAB,4/7/2010,4,2010,8:30:00 AM,GRAB,AMMONIA AS N,,26.6,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1       day# 2
L158965-7,WWTP EFFLUENT,EFF EPS LAB,4/8/2010,4,2010,8:35:00 AM,GRAB,AMMONIA AS N,,31.5,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-1   day#3
L158965-8,WWTP EFFLUENT,EFF EPS LAB,4/8/2010,4,2010,8:35:00 AM,GRAB,AMMONIA AS N,,37.8,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2    day#3
L159041-2,WWTP EFFLUENT,EFF EPS 04,4/8/2010,4,2010,12:00:00 PM,CF01,AMMONIA AS N,,24.8,mg/L,0.3,"SM(20)4500-NH3 B,C",EFF Monthly NPDES; METALS and Ammonia sample poured off at Sample Control in PLSTL at time of sample receipt; Add SIP-200.8 Be in Feb and Aug
L158965-10,WWTP EFFLUENT,EFF EPS LAB,4/9/2010,4,2010,7:55:00 AM,GRAB,AMMONIA AS N,,30.2,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#   e-2    day#4
L158965-9,WWTP EFFLUENT,EFF EPS LAB,4/9/2010,4,2010,7:55:00 AM,GRAB,AMMONIA AS N,,30.7,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1     day#4
L159341-1,WWTP EFFLUENT,EFF DECHLOR,4/14/2010,4,2010,9:00:00 AM,CFV,AMMONIA AS N,,22.5,mg/L,0.3,"SM(20)4500-NH3 B,C","switched from urchin to mussel 06/00. ISCO w/ 24 grabs received, composited in lab by CThompson on 14-APR-10."
L159264-2,WWTP EFFLUENT,EFF EPS 04,4/19/2010,4,2010,12:00:00 PM,CF01,AMMONIA AS N,,32.6,mg/L,0.3,"SM(20)4500-NH3 B,C",2nd monthly ammonia sample pour off at time of receipt.
L159541-2,WWTP EFFLUENT,EFF EPS LAB,5/3/2010,5,2010,12:00:00 PM,GRAB,AMMONIA AS N,,38.4,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank  combined;    day# 0; Rush requested per DEJ
L159541-3,WWTP EFFLUENT,EFF EPS LAB,5/4/2010,5,2010,7:40:00 AM,GRAB,AMMONIA AS N,,38.6,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#1; day# 1.
L159541-4,WWTP EFFLUENT,EFF EPS LAB,5/4/2010,5,2010,7:40:00 AM,GRAB,AMMONIA AS N,,35.7,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#2; day# 1.
L159541-5,WWTP EFFLUENT,EFF EPS LAB,5/5/2010,5,2010,8:25:00 AM,GRAB,AMMONIA AS N,,36.5,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#1; day# 2.
L159541-6,WWTP EFFLUENT,EFF EPS LAB,5/5/2010,5,2010,8:25:00 AM,GRAB,AMMONIA AS N,,33.6,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#2; day# 2.
L159541-8,WWTP EFFLUENT,EFF EPS LAB,5/6/2010,5,2010,7:45:00 AM,GRAB,AMMONIA AS N,,38.6,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#2; day# 3.
L159541-7,WWTP EFFLUENT,EFF EPS LAB,5/6/2010,5,2010,7:45:00 AM,GRAB,AMMONIA AS N,,38.4,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#1; day# 3.
L159627-2,WWTP EFFLUENT,EFF EPS 04,5/6/2010,5,2010,12:00:00 PM,CF01,AMMONIA AS N,,34.7,mg/L,0.3,"SM(20)4500-NH3 B,C",Th.
L159541-10,WWTP EFFLUENT,EFF EPS LAB,5/7/2010,5,2010,8:10:00 AM,GRAB,AMMONIA AS N,,37,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#2; day# 4.
L159541-9,WWTP EFFLUENT,EFF EPS LAB,5/7/2010,5,2010,8:10:00 AM,GRAB,AMMONIA AS N,,37.7,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#1; day# 4.
L159950-2,WWTP EFFLUENT,EFF EPS 04,5/21/2010,5,2010,12:00:00 PM,CF01,AMMONIA AS N,,38.5,mg/L,0.3,"SM(20)4500-NH3 B,C","Fri, Sat, Sun"
L160156-2,WWTP EFFLUENT,EFF EPS 04,6/3/2010,6,2010,12:00:00 PM,CF01,AMMONIA AS N,,38.9,mg/L,0.3,"SM(20)4500-NH3 B,C",Th.
L160236-2,WWTP EFFLUENT,EFF EPS LAB,6/7/2010,6,2010,3:40:00 AM,GRAB,AMMONIA AS N,,44.2,mg/L,0.3,"SM(20)4500-NH3 B,C",ammonia tank#  e-1 &2    day# 0
L160258-1,WWTP EFFLUENT,EFF EPS 04,6/8/2010,6,2010,2:20:00 AM,GRAB,AMMONIA AS N,,40.9,mg/L,0.3,"SM(20)4500-NH3 B,C",Dilution water for Centrate samples.
