Date,Month,Year,Flow,TSS ,NH3 ,NO3 ,NO2,PO4 ,OrthoP,OrgN
12/31/1976,12,1976,82.4,23,18,3.2,0.6,19.2,,3.5
1/31/1977,1,1977,81.8,23,18.4,3.2,0.6,23,,4.0
2/28/1977,2,1977,75.3,26,20.3,5.5,1.6,21.5,,3.9
3/31/1977,3,1977,75.8,25,17.5,5.2,0.6,23.8,,4.5
4/30/1977,4,1977,70.5,28,20.7,4.7,0.3,20,,5.2
5/31/1977,5,1977,72.9,21,18.9,1,1.3,22.7,,3.9
6/30/1977,6,1977,72.8,17,13.1,5,0.9,8.1,,3.2
7/31/1977,7,1977,74.4,27,15.6,4,1.7,15.5,,5.0
8/31/1977,8,1977,87.1,53,15,1.5,1.4,14.2,,7.9
9/30/1977,9,1977,86,26,15.1,3.7,1.8,10.8,,4.4
10/31/1977,10,1977,77.9,23,16,10,2.9,31.8,,4.2
11/30/1977,11,1977,70.6,44,10.9,9.5,1.7,28.5,,4.7
12/31/1977,12,1977,77,83,13.8,3.3,1.1,24.7,,7.2
1/31/1978,1,1978,88.6,40,14.9,5.3,1.8,17.6,,4.0
2/28/1978,2,1978,84.2,48,16.1,3.8,0.9,19.5,,4.7
3/31/1978,3,1978,88,41,18.8,2.3,0.2,18.5,,6.0
4/30/1978,4,1978,86.8,20,25.9,2.1,0.7,20.1,,4.1
5/31/1978,5,1978,84.9,16,22.8,0.9,2.4,16.9,,3.6
6/30/1978,6,1978,86.1,20,16.8,2.3,1.8,17.1,,3.9
7/31/1978,7,1978,97.6,26,15.2,,,18.1,,3.9
8/31/1978,8,1978,112,37,10.7,2.3,0.5,10.2,,5.4
9/30/1978,9,1978,108.9,57,15.6,3.9,1,23.3,,6.6
10/31/1978,10,1978,93.4,21,21,4,0.7,24.3,,3.8
11/30/1978,11,1978,89.4,22,22.7,4.4,0.2,21,,4.1
12/31/1978,12,1978,83.5,21,22.6,,0.2,32,,3.3
1/31/1979,1,1979,91.4,15.2,26.6,2.1,,23.1,,3.1
2/28/1979,2,1979,93.4,10.1,18.8,6.8,,21.9,,2.7
3/31/1979,3,1979,99.9,9.3,1.8,24,,21.9,,2.0
4/30/1979,4,1979,94.7,5.9,0.4,17.2,,19.4,,2.1
5/31/1979,5,1979,97,2.3,0.6,18.6,,14.8,,1.7
6/30/1979,6,1979,92.3,3.9,0.3,22.6,,9.7,,1.8
7/31/1979,7,1979,104.4,5.5,0.9,17.9,0.02,16.2,,2.0
8/31/1979,8,1979,122,7.4,0.1,12.7,0.02,8.7,,2.2
9/30/1979,9,1979,122.1,76,4.9,8.3,0.35,23.9,,10.2
10/31/1979,10,1979,106.3,2.2,0.2,23.5,0.02,23.7,,1.5
11/30/1979,11,1979,104.1,1.5,0.3,21.4,0.021,19.1,,0.6
