PermitTitle,Description,Pollutant,Date,Month,Year,GTLT,Value,Unit,ML,MDL,RDL,CTR,Comment
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/16/2011,2,2011, ,10,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/25/2011,2,2011, ,4.5,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,2/28/2011,2,2011, ,7.25,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,3/16/2011,3,2011, ,13,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,3/19/2011,3,2011, ,3.4,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,3/20/2011,3,2011, ,3.4,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,3/31/2011,3,2011, ,6.6,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/1/2003,1,2003, ,26.52,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/2/2003,1,2003, ,23.09,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/3/2003,1,2003, ,18.7,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/4/2003,1,2003, ,14.12,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/5/2003,1,2003, ,17.37,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/6/2003,1,2003, ,20.66,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/7/2003,1,2003, ,17.98,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/8/2003,1,2003, ,14.65,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/9/2003,1,2003, ,25.33,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/10/2003,1,2003, ,31.04,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/11/2003,1,2003, ,21.95,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/12/2003,1,2003, ,22.94,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/13/2003,1,2003, ,16.61,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/14/2003,1,2003, ,17.73,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/15/2003,1,2003, ,13.86,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/16/2003,1,2003, ,15,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/17/2003,1,2003, ,15.09,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/18/2003,1,2003, ,15.06,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/19/2003,1,2003, ,15.8,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/20/2003,1,2003, ,16.41,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/21/2003,1,2003, ,19.93,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/22/2003,1,2003, ,19.33,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/23/2003,1,2003, ,26.16,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/24/2003,1,2003, ,19.27,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/25/2003,1,2003, ,15.53,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/26/2003,1,2003, ,16.5,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/27/2003,1,2003, ,15.99,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/28/2003,1,2003, ,13.41,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/29/2003,1,2003, ,16.36,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/30/2003,1,2003, ,17.35,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/31/2003,1,2003, ,15.36,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,2/1/2003,2,2003, ,15.94,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,2/2/2003,2,2003, ,14.84,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,2/3/2003,2,2003, ,12.7,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,2/4/2003,2,2003, ,13.78,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,2/5/2003,2,2003, ,13.14,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,2/6/2003,2,2003, ,12.67,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,2/7/2003,2,2003, ,13.51,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,2/8/2003,2,2003, ,13.3,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,2/9/2003,2,2003, ,12.55,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,2/10/2003,2,2003, ,12.83,mgd, , , , , 
