,Date,NO3 mg/L N,N+N mg/L N,o-PO4 mg/L P,TP mg/L P,NH3 mg/L N,flow mgd
223,2013-05-06,0.4,0.07,0.02,0.04,,
224,2013-06-03,0.3,0.06,0.03,0.04,,
225,2013-07-01,0.3,0.05,0.02,0.05,,
226,2013-08-05,0.1,0.03,0.04,0.04,,
227,2013-09-03,0.2,0.04,0.04,0.05,,
228,2013-09-03,0.2,0.04,0.04,0.05,,
229,2013-09-03,0.2,0.04,0.04,0.05,,
230,2013-09-03,0.2,0.04,0.04,0.05,,
231,2013-09-03,0.2,0.04,0.04,0.05,,
232,2013-09-03,0.2,0.04,0.04,0.05,,
233,2013-09-03,0.2,0.04,0.04,0.05,,
234,2013-09-03,0.2,0.04,0.04,0.05,0.01,
235,2013-10-07,0.2,0.05,0.02,0.03,0.01,
236,2013-11-04,0.5,0.08,0.02,0.045,,
237,2013-12-02,0.6,0.12,0.03,0.05,,
238,2013-12-02,0.6,0.12,0.03,0.05,0.01,
239,2014-01-06,0.3,0.06,0.02,0.04,,
240,2014-02-03,0.5,0.09,0.02,0.05,,
241,2014-03-03,2.1,0.38,0.04,0.16,,
242,2014-03-03,2.1,0.38,0.04,0.16,,
243,2014-03-03,2.1,0.38,0.04,0.16,0.05,
244,2014-04-07,0.9,0.17,0.03,0.065,,
245,2014-09-02,,0.03,0.03,0.06,0.01,
246,2014-09-02,,0.03,0.03,0.06,0.01,
247,2014-09-02,,0.03,0.03,0.06,0.01,
248,2014-09-02,,0.03,0.03,0.06,0.01,
249,2014-09-02,0.1,0.03,0.03,0.06,0.01,
250,2014-10-06,0.2,0.04,0.03,0.05,0.02,
251,2014-11-03,1.0,0.23,0.04,0.065,0.02,
252,2014-12-01,0.8000000000000002,0.18,0.04,0.09,0.02,
253,2015-01-05,2.0,0.375,0.04,0.06666666666666667,0.02,
254,2015-02-02,0.9,0.16,0.02,0.04,0.01,
255,2015-03-02,0.8,0.14500000000000002,0.02,0.04,0.01,
256,2015-04-06,0.2,0.04,0.02,0.04,0.02,
257,2015-05-04,0.2,0.06,0.02,0.03,0.03,
258,2015-09-08,,0.06,0.03,0.05,,
259,2015-09-08,,0.06,0.03,0.05,,
260,2015-09-08,,0.06,0.03,0.05,,
261,2015-09-08,0.1,0.06,0.03,0.05,,
262,2015-11-02,,,0.02,0.03,0.01,
263,2015-11-02,,0.09,0.02,0.03,0.01,
264,2015-11-02,0.4,,0.02,0.03,0.01,
265,2015-11-02,0.4,0.09,0.02,0.03,0.01,
266,2015-12-08,0.6,0.12,0.02,0.04,0.02,
267,2016-01-04,1.5,0.26,0.03,0.06,0.01,
268,2016-02-02,1.2,0.24,0.03,0.09,0.02,
269,2016-03-07,0.7,0.13,0.01,0.07,0.02,
270,2016-04-04,0.8,0.14,0.02,0.06,,
271,2016-05-02,0.3,,0.02,0.04,,
272,2016-05-02,0.3,,0.02,0.04,0.02,
273,2016-06-06,0.2,,0.02,0.04,0.02,
274,2016-06-06,0.2,0.02,0.02,0.04,0.02,
275,2016-07-05,0.1,,0.02,0.04,,
276,2016-09-07,,0.06,0.03,0.04,,
277,2016-09-07,,0.06,0.03,0.04,,
278,2016-09-07,,0.06,0.03,0.04,0.02,
279,2016-09-07,0.3,0.06,0.03,0.04,,
280,2016-09-07,0.3,0.06,0.03,0.04,,
281,2016-09-07,0.3,0.06,0.03,0.04,0.02,
282,2016-10-03,0.4,0.09,0.03,0.03,,
283,2016-11-07,1.1,0.22,0.06,0.06,,
284,2016-11-07,1.1,0.22,0.06,0.06,0.02,
285,2016-12-05,0.9,0.2,0.04,,0.02,
286,2017-01-10,5.0,0.14,0.02,0.14,0.03,
287,2017-02-08,0.5,0.14,0.02,0.07,,
288,2017-03-06,0.7,0.17,0.04,0.05,,
289,2017-04-03,0.6,0.14,0.03,0.04,,
290,2017-05-01,0.1,0.03,0.02,0.04,,
291,2007-07-02,,0.03,0.02,0.04,,
292,2008-04-07,,0.02,0.02,0.03,,
293,2009-08-03,,0.02,0.02,0.03,,
294,2014-08-04,,,0.02,0.04,,
295,2014-08-04,,,0.02,0.04,,
296,2014-08-04,,,0.02,0.04,,
297,2014-08-04,,,0.02,0.04,,
298,2014-08-04,,,0.02,0.04,0.02,
299,2014-08-04,,,0.02,0.04,,
300,2014-08-04,,,0.02,0.04,,
301,2014-08-04,,,0.02,0.04,,
302,2014-08-04,,,0.02,0.04,,
303,2014-08-04,,,0.02,0.04,0.02,
304,2014-08-04,,,0.02,0.04,,
305,2014-08-04,,,0.02,0.04,,
306,2014-08-04,,,0.02,0.04,,
307,2014-08-04,,,0.02,0.04,,
308,2014-08-04,,,0.02,0.04,0.02,
309,2014-08-04,,0.01,0.02,0.04,,
310,2014-08-04,,0.01,0.02,0.04,,
311,2014-08-04,,0.01,0.02,0.04,,
312,2014-08-04,,0.01,0.02,0.04,,
313,2014-08-04,,0.01,0.02,0.04,0.02,
314,2015-06-01,,0.02,0.02,0.03,0.02,
315,2015-08-03,,,0.02,0.03,0.02,
316,2015-08-03,,0.01,0.02,0.03,0.02,
317,2016-08-01,,,0.02,0.04,,
318,2016-08-01,,0.02,0.02,0.04,,
319,2014-05-05,,,0.02,0.045,,
320,2014-06-02,,,0.02,0.03,,
321,2014-07-07,,,0.02,0.04,,
322,2015-07-06,,,0.02,0.03,0.04,
323,2015-10-05,,,0.02,0.03,,
324,2015-10-05,,,0.02,0.03,0.01,
325,1996-11-06,,,,,,
326,1996-11-06,,,,,,
327,1996-11-06,,,,,,
328,1996-11-06,,,,,0.01,
329,1996-12-04,,,,,0.01,
330,1997-07-09,,,,,,
331,1997-07-09,,,,,,
332,1997-07-09,,,,,,
333,1997-07-09,,,,,,
334,1997-07-09,,,,,,
335,1997-07-09,,,,,0.01,
336,1997-11-06,,,,,,
337,1997-11-06,,,,,,
338,1997-11-06,,,,,,
339,1997-11-06,,,,,0.02,
340,1997-12-01,,,,,0.03,
341,1998-01-07,,,,,0.02,
342,1998-02-03,,,,,0.03,
343,1998-04-06,,,,,,
344,1998-04-06,,,,,0.01,
345,1998-05-04,,,,,0.05,
346,1998-06-10,,,,,0.03,
347,2014-06-03,,,,,,4467.683395833333
348,2014-06-04,,,,,,4429.37665625
349,2014-06-05,,,,,,4428.97271875
350,2014-06-06,,,,,,4449.7755
351,2014-06-07,,,,,,4437.724697916667
352,2014-06-08,,,,,,4370.80571875
353,2014-06-09,,,,,,4440.68690625
354,2014-06-10,,,,,,4522.28228125
355,2014-06-11,,,,,,4610.2733333333335
356,2014-06-12,,,,,,4686.146260416666
357,2014-06-13,,,,,,4648.445427083333
358,2014-06-14,,,,,,4501.816114583333
359,2014-06-15,,,,,,4915.71740625
360,2014-06-16,,,,,,5252.466635416667
361,2014-06-17,,,,,,5319.183645833334
362,2014-06-18,,,,,,5241.762291666667
363,2014-06-19,,,,,,5174.304729166667
364,2014-06-20,,,,,,5131.487354166667
365,2014-06-21,,,,,,5271.99028125
366,2014-06-22,,,,,,5347.7285625
367,2014-06-23,,,,,,5687.574645833332
368,2014-06-24,,,,,,5910.884760416666
369,2014-06-25,,,,,,6167.990979166666
370,2014-06-26,,,,,,6241.84421875
371,2014-06-27,,,,,,6267.022989583334
372,2014-06-28,,,,,,6219.291041666666
373,2014-06-29,,,,,,6130.1555
374,2014-06-30,,,,,,5917.751697916667
375,2014-07-01,,,,,,5755.032208333334
376,2014-07-02,,,,,,5637.7556875
377,2014-07-03,,,,,,5553.9386562499985
378,2014-07-04,,,,,,5388.593572916666
379,2014-07-05,,,,,,5236.2418125
380,2014-07-06,,,,,,5181.844895833333
381,2014-07-07,,,,,,5294.20684375
382,2014-07-08,,,,,,5468.9098125
383,2014-07-09,,,,,,5577.434354166667
384,2014-07-10,,,,,,5672.426989583334
385,2014-07-11,,,,,,5704.20340625
386,2014-07-12,,,,,,5666.23328125
387,2014-07-13,,,,,,5549.1587291666665
388,2014-07-14,,,,,,5696.663239583334
389,2014-07-15,,,,,,5811.179520833332
390,2014-07-16,,,,,,5621.530864583334
391,2014-07-17,,,,,,5504.052375
392,2014-07-18,,,,,,5460.427125
393,2014-07-19,,,,,,5486.952354166666
394,2014-07-20,,,,,,5423.46684375
395,2014-07-21,,,,,,5537.37721875
396,2014-07-22,,,,,,5744.3951875
397,2014-07-23,,,,,,5915.395395833332
398,2014-07-24,,,,,,5949.1915
399,2014-07-25,,,,,,5964.9450625
400,2014-07-26,,,,,,5787.481854166666
401,2014-07-27,,,,,,5639.910020833334
402,2014-07-28,,,,,,5663.675010416666
403,2014-07-29,,,,,,5651.8935
404,2014-07-30,,,,,,5618.905270833334
405,2014-07-31,,,,,,5436.39284375
406,2014-08-01,,,,,,5231.933145833334
407,2014-08-02,,,,,,5142.0570520833335
408,2014-08-03,,,,,,5111.155833333333
409,2014-08-04,,,,,,5146.5676875
410,2014-08-05,,,,,,5206.14846875
411,2014-08-06,,,,,,5384.419552083334
412,2014-08-07,,,,,,5814.2090520833335
413,2014-08-08,,,,,,6291.663177083334
414,2014-08-09,,,,,,6493.160666666667
415,2014-08-10,,,,,,6429.001927083334
416,2014-08-11,,,,,,6174.857916666666
417,2014-08-12,,,,,,5776.3735729166665
418,2014-08-13,,,,,,5648.796645833334
419,2014-08-14,,,,,,5642.939552083332
420,2014-08-15,,,,,,5408.857770833333
421,2014-08-16,,,,,,5123.273958333333
422,2014-08-17,,,,,,5027.944708333333
423,2014-08-18,,,,,,4941.098145833334
424,2014-08-19,,,,,,4967.084791666667
425,2014-08-20,,,,,,5062.212072916666
426,2014-08-21,,,,,,5083.418791666667
427,2014-08-22,,,,,,5042.3518125
428,2014-08-23,,,,,,5266.806416666666
429,2014-08-24,,,,,,5199.0795625
430,2014-08-25,,,,,,5250.648916666667
431,2014-08-26,,,,,,5317.702541666667
432,2014-08-27,,,,,,5357.759677083333
433,2014-08-28,,,,,,5471.266114583334
434,2014-08-29,,,,,,5617.96275
435,2014-08-30,,,,,,5839.589791666666
436,2014-08-31,,,,,,5877.290625
437,2014-09-01,,,,,,5757.4558333333325
438,2014-09-02,,,,,,5672.628958333334
439,2014-09-03,,,,,,5700.6352916666665
440,2014-09-04,,,,,,5885.2347291666665
441,2014-09-05,,,,,,5968.5805
442,2014-09-06,,,,,,5889.0048125
443,2014-09-07,,,,,,5831.982302083334
444,2014-09-08,,,,,,5734.229427083334
445,2014-09-09,,,,,,5667.6470625
446,2014-09-10,,,,,,5597.96784375
447,2014-09-11,,,,,,5679.0246354166675
448,2014-09-12,,,,,,5639.57340625
449,2014-09-13,,,,,,5555.4870833333325
450,2014-09-14,,,,,,5427.6408645833335
451,2014-09-15,,,,,,5295.889916666666
452,2014-09-16,,,,,,5202.10909375
453,2014-09-17,,,,,,5111.0211875
454,2014-09-18,,,,,,5106.577875
455,2014-09-19,,,,,,4994.48521875
456,2014-09-20,,,,,,4938.1359375
457,2014-09-21,,,,,,4922.7863124999985
458,2014-09-22,,,,,,4858.9641875
459,2014-09-23,,,,,,4805.779083333333
460,2014-09-24,,,,,,4812.71334375
461,2014-09-25,,,,,,4795.007416666666
462,2014-09-26,,,,,,4780.667635416667
463,2014-09-27,,,,,,4834.92990625
464,2014-09-28,,,,,,4872.832708333333
465,2014-09-29,,,,,,4702.775020833333
466,2014-09-30,,,,,,4563.685875
467,2014-10-01,,,,,,4480.0708125
468,2014-10-02,,,,,,4451.929833333333
469,2014-10-07,,,,,,4205.258666666667
470,2014-10-08,,,,,,4194.217708333334
471,2014-10-09,,,,,,4133.627083333333
472,2014-10-10,,,,,,4018.302927083333
473,2014-10-11,,,,,,3941.42015625
474,2014-10-12,,,,,,3830.5393125
475,2014-10-13,,,,,,3713.9360208333333
476,2014-10-14,,,,,,3715.61909375
477,2014-10-15,,,,,,3859.8921041666663
478,2014-10-16,,,,,,3755.272291666666
479,2014-10-17,,,,,,3728.006510416667
480,2014-10-18,,,,,,3740.932510416667
481,2014-10-19,,,,,,3744.500625
482,2014-10-20,,,,,,3786.644770833333
483,2014-10-21,,,,,,3789.001072916667
484,2014-10-22,,,,,,3789.203041666666
485,2014-10-23,,,,,,3871.067708333333
486,2014-10-24,,,,,,3898.19884375
487,2014-10-25,,,,,,4004.367083333333
488,2014-10-26,,,,,,4133.69440625
489,2014-10-27,,,,,,4064.082510416667
490,2014-10-28,,,,,,4164.057041666667
491,2014-10-29,,,,,,4306.3776875
492,2014-10-30,,,,,,4183.78265625
493,2014-10-31,,,,,,4179.0027291666665
494,2014-11-01,,,,,,4345.492302083333
495,2014-11-02,,,,,,4460.614489583333
496,2014-11-03,,,,,,4778.647947916666
497,2014-11-04,,,,,,4901.444947916667
498,2014-11-05,,,,,,4781.946770833333
499,2014-11-06,,,,,,4772.5215625
500,2014-11-07,,,,,,4836.882270833333
501,2014-11-08,,,,,,4766.193208333333
502,2014-11-09,,,,,,4616.669010416666
503,2014-11-10,,,,,,4568.465802083333
504,2014-11-11,,,,,,4640.434
505,2014-11-12,,,,,,4662.717885416667
506,2014-11-13,,,,,,4576.477229166667
507,2014-11-14,,,,,,4620.84303125
508,2014-11-15,,,,,,4619.698541666667
509,2014-11-16,,,,,,4609.465458333333
510,2014-11-17,,,,,,4596.539458333333
511,2014-11-18,,,,,,4605.695375
512,2014-11-19,,,,,,4669.248208333333
513,2014-11-20,,,,,,4771.3097499999985
514,2014-11-21,,,,,,4885.691385416667
515,2014-11-22,,,,,,4862.666947916667
516,2014-11-23,,,,,,4953.081625
517,2014-11-24,,,,,,5014.749416666667
518,2014-11-25,,,,,,5388.72821875
519,2014-11-26,,,,,,5297.572989583334
520,2014-11-27,,,,,,5089.343208333333
521,2014-11-28,,,,,,4817.56059375
522,2014-11-29,,,,,,4755.690833333333
523,2014-11-30,,,,,,4811.7035
524,2014-12-01,,,,,,4984.79071875
525,2014-12-02,,,,,,5582.954833333332
526,2014-12-03,,,,,,6930.15371875
527,2014-12-04,,,,,,8638.876666666665
528,2014-12-05,,,,,,12878.873958333332
529,2014-12-06,,,,,,17745.64760416667
530,2014-12-07,,,,,,16410.634166666667
531,2014-12-08,,,,,,15519.951979166664
532,2014-12-09,,,,,,14176.1865625
533,2014-12-10,,,,,,11760.6403125
534,2014-12-11,,,,,,9766.535520833333
535,2014-12-12,,,,,,12431.1765625
536,2014-12-13,,,,,,26103.114479166667
537,2014-12-14,,,,,,30160.666666666664
538,2014-12-16,,,,,,34956.75125
539,2014-12-17,,,,,,32476.575
540,2014-12-18,,,,,,31830.275
541,2014-12-19,,,,,,32176.314791666664
542,2014-12-20,,,,,,32100.23989583333
543,2014-12-21,,,,,,32376.263854166664
544,2014-12-22,,,,,,32769.4296875
545,2014-12-23,,,,,,32279.318854166664
546,2014-12-24,,,,,,30441.403229166666
547,2014-12-25,,,,,,26661.22145833333
548,2014-12-26,,,,,,22287.2515625
549,2014-12-27,,,,,,19109.60989583333
550,2014-12-28,,,,,,16903.437916666666
551,2014-12-29,,,,,,14954.439479166667
552,2014-12-30,,,,,,13202.023958333333
553,2014-12-31,,,,,,11663.6953125
554,2015-01-01,,,,,,10307.811770833334
555,2015-01-02,,,,,,9336.342083333333
556,2015-01-03,,,,,,8694.081458333334
557,2015-01-04,,,,,,8231.573020833332
558,2015-01-05,,,,,,7867.356041666666
559,2015-01-06,,,,,,7468.131145833334
560,2015-01-07,,,,,,7173.93
561,2015-01-08,,,,,,6943.012395833332
562,2015-01-09,,,,,,6818.465
563,2015-01-10,,,,,,6611.110416666666
564,2015-01-11,,,,,,6495.247677083334
565,2015-01-14,,,,,,5842.013416666667
566,2015-01-15,,,,,,5701.847104166666
567,2015-01-16,,,,,,5666.23328125
568,2015-01-17,,,,,,5738.672739583332
569,2015-01-18,,,,,,5701.6451354166675
570,2015-01-19,,,,,,5682.9966875
571,2015-01-20,,,,,,5633.51434375
572,2015-01-21,,,,,,5673.706125
573,2015-01-22,,,,,,5644.286010416667
