,NO3 mg/L N,Time
308,0.82,2011-07-27 09:16:00
309,0.84,2011-07-27 09:24:00
310,0.81,2011-07-27 09:28:00
311,0.82,2011-07-27 09:37:00
312,0.88,2011-08-02 07:35:00
313,0.87,2011-08-02 07:54:00
314,0.87,2011-08-02 08:05:00
315,0.97,2011-08-02 08:05:00
316,0.91,2011-08-02 08:11:00
317,6.8,2011-08-02 13:55:00
318,0.65,2011-08-11 07:18:00
319,0.65,2011-08-11 07:33:00
320,0.61,2011-08-11 07:47:00
321,0.63,2011-08-11 07:47:00
322,0.65,2011-08-11 08:05:00
323,6.4,2011-08-11 09:51:00
324,0.62,2011-08-15 08:56:00
325,0.64,2011-08-15 09:12:00
326,0.55,2011-08-15 09:24:00
327,0.66,2011-08-15 09:24:00
328,0.58,2011-08-15 09:30:00
329,5.9,2011-08-15 10:48:00
330,0.66,2011-08-23 07:42:00
331,0.72,2011-08-23 08:06:00
332,0.63,2011-08-23 08:29:00
333,0.64,2011-08-23 08:29:00
334,0.64,2011-08-23 08:41:00
335,6.1,2011-08-23 09:18:00
336,0.5,2011-08-30 08:31:00
337,0.49,2011-08-30 08:48:00
338,0.43,2011-08-30 09:00:00
339,0.5,2011-08-30 09:00:00
340,0.42,2011-08-30 09:05:00
341,5.5,2011-08-30 11:01:00
342,5.4,2011-09-08 06:48:00
343,0.74,2011-09-08 07:50:00
344,0.76,2011-09-08 08:27:00
345,0.77,2011-09-08 08:44:00
346,0.73,2011-09-08 09:00:00
347,0.72,2011-09-08 09:16:00
348,5.3,2011-09-14 08:00:00
349,1.2,2011-09-14 10:03:00
350,1.3,2011-09-14 10:30:00
351,1.3,2011-09-14 10:42:00
352,1.3,2011-09-14 10:51:00
353,1.3,2011-09-14 11:01:00
354,4.8,2011-09-22 06:45:00
355,1.1,2011-09-22 08:30:00
356,1.0,2011-09-22 08:40:00
357,1.0,2011-09-22 08:50:00
358,1.1,2011-09-22 09:35:00
359,1.1,2011-09-22 10:14:00
360,6.4,2011-09-27 07:28:00
361,0.97,2011-09-27 08:39:00
362,1.1,2011-09-27 09:06:00
363,1.0,2011-09-27 09:24:00
364,0.98,2011-09-27 09:33:00
365,0.94,2011-09-27 10:04:00
366,0.96,2011-10-04 00:00:00
367,5.9,2011-10-04 07:10:00
368,1.0,2011-10-04 09:50:00
369,1.0,2011-10-04 10:08:00
370,0.98,2011-10-04 10:19:00
371,0.95,2011-10-04 10:34:00
372,5.1,2011-10-13 07:29:00
373,0.8,2011-10-13 09:18:00
374,0.69,2011-10-13 09:42:00
375,0.64,2011-10-13 09:54:00
376,0.64,2011-10-13 10:11:00
377,0.79,2011-10-18 00:00:00
378,5.6,2011-10-18 07:35:00
379,0.77,2011-10-18 09:28:00
380,0.8,2011-10-18 09:43:00
381,0.74,2011-10-18 09:51:00
382,0.69,2011-10-18 10:03:00
383,0.9,2011-10-25 00:00:00
384,5.0,2011-10-25 07:40:00
385,0.88,2011-10-25 09:25:00
386,0.89,2011-10-25 09:40:00
387,0.81,2011-10-25 09:48:00
388,0.76,2011-10-25 10:07:00
389,0.71,2011-11-02 12:45:00
390,0.85,2011-11-02 13:33:00
391,0.78,2011-11-02 13:44:00
392,0.78,2011-11-02 13:49:00
393,0.73,2011-11-02 13:58:00
394,4.7,2011-11-02 17:00:00
395,1.6,2011-11-03 08:14:00
396,1.0,2011-11-03 09:36:00
397,1.1,2011-11-04 10:03:00
398,1.4,2011-11-04 10:32:00
399,1.1,2011-11-05 13:08:00
400,1.3,2011-11-05 13:25:00
401,1.1,2011-11-06 10:05:00
402,1.4,2011-11-06 10:25:00
403,1.7,2011-11-10 08:32:00
404,1.6,2011-11-10 08:39:00
405,1.6,2011-11-10 08:47:00
406,5.6,2011-11-10 17:00:00
407,1.6,2011-11-16 10:39:00
408,1.5,2011-11-16 10:43:00
409,1.5,2011-11-16 10:55:00
410,9.8,2011-11-16 17:00:00
411,1.3,2011-11-22 13:33:00
412,1.3,2011-11-22 13:38:00
413,1.2,2011-11-22 13:45:00
414,5.3,2011-11-22 17:00:00
415,1.5,2011-11-29 10:38:00
416,1.4,2011-11-29 10:45:00
417,1.5,2011-11-29 10:54:00
418,5.5,2011-11-29 17:00:00
419,1.5,2011-12-08 08:09:00
420,1.6,2011-12-08 08:41:00
421,1.6,2011-12-08 08:54:00
422,1.6,2011-12-08 09:08:00
423,1.6,2011-12-08 09:22:00
424,5.4,2011-12-08 11:02:00
