,NH3 mg/L N,Time
334,0.81,2011-07-01
335,0.431,2011-07-02
336,1.3,2011-07-03
337,0.597,2011-07-04
338,1.17,2011-07-05
339,1.3,2011-07-06
340,1.1,2011-07-07
341,1.08,2011-07-08
342,1.18,2011-07-09
343,1.05,2011-07-10
344,1.05,2011-07-11
345,1.14,2011-07-12
346,1.08,2011-07-13
347,1.2,2011-07-14
348,1.18,2011-07-15
349,1.05,2011-07-16
350,1.16,2011-07-17
351,1.14,2011-07-18
352,1.29,2011-07-19
353,1.24,2011-07-20
354,1.03,2011-07-21
355,0.975,2011-07-22
356,1.01,2011-07-23
357,1.11,2011-07-24
358,1.23,2011-07-25
359,1.1,2011-07-26
360,1.18,2011-07-27
361,1.28,2011-07-28
362,1.12,2011-07-29
363,1.07,2011-07-30
364,1.1,2011-07-31
365,0.993,2011-08-01
366,0.9890000000000001,2011-08-02
367,1.02,2011-08-03
368,1.25,2011-08-04
369,0.7609999999999999,2011-08-05
370,0.8270000000000001,2011-08-06
371,0.941,2011-08-07
372,1.05,2011-08-08
373,1.09,2011-08-09
374,1.06,2011-08-10
375,0.966,2011-08-11
376,1.09,2011-08-12
377,1.22,2011-08-13
378,0.772,2011-08-14
379,1.2,2011-08-15
380,1.11,2011-08-16
381,1.23,2011-08-17
382,1.08,2011-08-18
383,0.958,2011-08-19
384,1.19,2011-08-20
385,1.3,2011-08-21
386,1.03,2011-08-22
387,1.15,2011-08-23
388,1.12,2011-08-24
389,1.0,2011-08-25
390,0.9490000000000001,2011-08-26
391,0.95,2011-08-27
392,1.06,2011-08-28
393,1.11,2011-08-29
394,1.01,2011-08-30
395,1.15,2011-08-31
396,1.1,2011-09-01
397,1.04,2011-09-02
398,0.81,2011-09-03
399,1.15,2011-09-04
400,1.04,2011-09-05
401,0.89,2011-09-06
402,1.13,2011-09-07
403,1.31,2011-09-08
404,1.3,2011-09-09
405,1.3,2011-09-10
406,1.08,2011-09-11
407,1.06,2011-09-12
408,1.1,2011-09-13
409,1.18,2011-09-14
410,1.27,2011-09-15
411,1.21,2011-09-16
412,1.19,2011-09-17
413,1.2,2011-09-18
414,1.21,2011-09-19
415,1.25,2011-09-20
416,1.0,2011-09-21
417,1.2,2011-09-22
418,1.06,2011-09-23
419,1.17,2011-09-24
420,1.25,2011-09-25
421,0.84,2011-09-26
422,1.29,2011-09-27
423,1.17,2011-09-28
424,1.08,2011-09-29
425,1.03,2011-09-30
426,0.97,2011-10-01
427,1.06,2011-10-02
428,1.01,2011-10-03
429,1.03,2011-10-04
430,1.12,2011-10-05
431,0.95,2011-10-06
432,1.02,2011-10-07
433,1.1,2011-10-08
434,1.3,2011-10-09
435,1.08,2011-10-10
436,1.1,2011-10-11
437,1.22,2011-10-12
438,1.05,2011-10-13
439,1.0,2011-10-14
440,1.0,2011-10-15
441,1.28,2011-10-16
442,0.97,2011-10-17
443,0.9,2011-10-18
444,0.69,2011-10-19
445,0.82,2011-10-20
446,1.17,2011-10-21
447,0.96,2011-10-22
448,0.99,2011-10-23
449,1.02,2011-10-24
450,0.8,2011-10-25
451,1.14,2011-10-26
452,1.13,2011-10-27
453,1.07,2011-10-28
454,1.15,2011-10-29
455,0.99,2011-10-30
456,1.1,2011-10-31
457,1.07,2011-11-01
458,1.02,2011-11-02
459,1.07,2011-11-03
460,0.87,2011-11-04
461,1.05,2011-11-05
462,1.2,2011-11-06
463,1.03,2011-11-07
464,1.1,2011-11-08
465,0.96,2011-11-09
466,1.06,2011-11-10
467,0.88,2011-11-11
468,0.98,2011-11-12
469,1.17,2011-11-13
470,1.36,2011-11-14
471,1.19,2011-11-15
472,1.66,2011-11-16
473,1.23,2011-11-17
474,1.11,2011-11-18
475,1.33,2011-11-19
476,1.18,2011-11-20
477,1.23,2011-11-21
478,1.12,2011-11-22
479,1.2,2011-11-23
480,1.18,2011-11-24
481,0.94,2011-11-25
482,1.19,2011-11-26
483,0.95,2011-11-27
484,0.89,2011-11-28
485,1.23,2011-11-29
486,1.23,2011-11-30
487,1.15,2011-12-01
488,0.97,2011-12-02
489,1.22,2011-12-03
490,1.1,2011-12-04
491,1.05,2011-12-05
492,1.06,2011-12-06
493,1.33,2011-12-07
494,1.18,2011-12-08
495,1.51,2011-12-09
496,1.02,2011-12-10
497,1.04,2011-12-11
498,0.86,2011-12-12
499,1.03,2011-12-13
500,1.15,2011-12-14
501,1.1,2011-12-15
502,1.16,2011-12-16
503,1.17,2011-12-17
504,1.23,2011-12-18
505,0.95,2011-12-19
506,1.08,2011-12-20
507,1.25,2011-12-21
508,1.28,2011-12-22
509,0.94,2011-12-23
510,0.93,2011-12-24
511,1.09,2011-12-25
512,1.15,2011-12-26
513,1.17,2011-12-27
514,1.0,2011-12-28
515,1.09,2011-12-29
516,0.95,2011-12-30
517,0.99,2011-12-31
518,0.977,2012-01-01
519,1.19,2012-01-02
520,0.963,2012-01-03
521,1.05,2012-01-04
522,1.32,2012-01-05
523,1.12,2012-01-06
524,1.32,2012-01-07
525,1.06,2012-01-08
526,0.74,2012-01-09
527,1.13,2012-01-10
528,1.12,2012-01-11
529,1.22,2012-01-12
530,1.1,2012-01-13
531,0.987,2012-01-14
532,0.9109999999999999,2012-01-15
533,1.13,2012-01-16
534,0.963,2012-01-17
535,1.11,2012-01-18
536,1.34,2012-01-19
537,1.23,2012-01-20
538,1.04,2012-01-21
539,1.19,2012-01-22
540,1.19,2012-01-23
541,1.11,2012-01-24
542,1.24,2012-01-25
543,1.38,2012-01-26
544,0.972,2012-01-27
545,1.1,2012-01-28
546,1.13,2012-01-29
547,1.05,2012-01-30
548,1.14,2012-01-31
549,1.09,2012-02-01
550,1.21,2012-02-02
551,1.04,2012-02-03
552,1.29,2012-02-04
553,1.16,2012-02-05
554,0.889,2012-02-06
555,1.3,2012-02-07
556,0.9159999999999999,2012-02-08
557,0.978,2012-02-09
558,1.05,2012-02-10
559,1.11,2012-02-11
560,1.29,2012-02-12
561,0.991,2012-02-13
562,1.01,2012-02-14
563,1.04,2012-02-15
564,1.12,2012-02-16
565,1.16,2012-02-17
566,1.15,2012-02-18
567,1.22,2012-02-19
568,1.24,2012-02-20
569,1.15,2012-02-21
570,1.19,2012-02-22
571,1.16,2012-02-23
572,1.31,2012-02-24
573,1.41,2012-02-25
574,1.15,2012-02-26
575,1.07,2012-02-27
576,1.01,2012-02-28
577,1.12,2012-02-29
578,1.12,2012-03-01
579,1.22,2012-03-02
580,1.23,2012-03-03
581,1.11,2012-03-04
582,1.13,2012-03-05
583,1.26,2012-03-06
584,0.884,2012-03-07
585,1.13,2012-03-08
586,1.21,2012-03-09
587,1.42,2012-03-10
588,1.39,2012-03-11
589,1.07,2012-03-12
590,1.14,2012-03-13
591,1.17,2012-03-14
592,1.12,2012-03-15
593,1.08,2012-03-16
594,1.1,2012-03-17
595,1.34,2012-03-18
596,0.925,2012-03-19
597,1.14,2012-03-20
598,1.18,2012-03-21
599,0.893,2012-03-22
600,1.04,2012-03-23
601,1.13,2012-03-24
602,1.09,2012-03-25
603,0.927,2012-03-26
604,1.3,2012-03-27
605,0.975,2012-03-28
606,0.723,2012-03-29
607,0.8809999999999999,2012-03-30
608,0.9940000000000001,2012-03-31
609,1.02,2012-04-01
610,0.779,2012-04-02
611,0.87,2012-04-03
612,0.983,2012-04-04
613,0.9540000000000001,2012-04-05
614,1.06,2012-04-06
615,1.05,2012-04-07
616,1.05,2012-04-08
617,0.938,2012-04-09
618,0.9159999999999999,2012-04-10
619,0.909,2012-04-11
620,0.9520000000000001,2012-04-12
621,0.897,2012-04-13
622,0.8690000000000001,2012-04-14
623,0.9890000000000001,2012-04-15
624,1.05,2012-04-16
625,1.01,2012-04-17
626,1.0,2012-04-18
627,1.21,2012-04-19
628,0.992,2012-04-20
629,1.09,2012-04-21
630,0.9840000000000001,2012-04-22
631,1.12,2012-04-23
632,0.8320000000000001,2012-04-24
633,1.09,2012-04-25
634,0.9420000000000001,2012-04-26
635,1.24,2012-04-27
636,0.902,2012-04-28
637,0.96,2012-04-29
638,0.946,2012-04-30
639,0.9570000000000001,2012-05-01
640,0.966,2012-05-02
641,0.9209999999999999,2012-05-03
642,1.05,2012-05-04
643,0.7140000000000001,2012-05-05
644,1.2,2012-05-06
645,0.961,2012-05-07
646,0.85,2012-05-08
647,0.9009999999999999,2012-05-09
648,1.17,2012-05-10
649,0.9740000000000001,2012-05-11
650,1.05,2012-05-12
651,0.968,2012-05-13
652,0.868,2012-05-14
653,0.997,2012-05-15
654,1.24,2012-05-16
655,0.703,2012-05-17
656,1.21,2012-05-18
657,0.96,2012-05-19
658,1.01,2012-05-20
659,0.93,2012-05-21
660,0.998,2012-05-22
661,1.07,2012-05-23
662,0.8909999999999999,2012-05-24
663,1.38,2012-05-25
664,1.26,2012-05-26
665,1.02,2012-05-27
666,0.9840000000000001,2012-05-28
667,1.1,2012-05-29
668,1.53,2012-05-30
669,1.18,2012-05-31
670,1.24,2012-06-01
671,0.826,2012-06-02
672,0.828,2012-06-03
673,0.884,2012-06-04
674,1.0,2012-06-05
675,1.09,2012-06-06
676,1.06,2012-06-07
677,0.9109999999999999,2012-06-08
678,0.937,2012-06-09
679,0.821,2012-06-10
680,0.8220000000000001,2012-06-11
681,1.03,2012-06-12
682,0.847,2012-06-13
683,1.01,2012-06-14
684,1.09,2012-06-15
685,0.946,2012-06-16
686,1.05,2012-06-17
687,0.8640000000000001,2012-06-18
688,0.807,2012-06-19
689,0.742,2012-06-20
690,0.848,2012-06-21
691,0.7979999999999999,2012-06-22
692,0.847,2012-06-23
693,0.935,2012-06-24
694,0.6729999999999999,2012-06-25
695,0.787,2012-06-26
696,1.31,2012-06-27
697,0.865,2012-06-28
698,1.28,2012-06-29
699,0.9490000000000001,2012-06-30
700,1.01,2012-07-01
701,0.9490000000000001,2012-07-02
702,0.851,2012-07-03
703,0.9640000000000001,2012-07-04
704,0.858,2012-07-05
705,0.919,2012-07-06
706,1.03,2012-07-07
707,0.977,2012-07-08
708,0.8690000000000001,2012-07-09
709,0.8170000000000001,2012-07-10
710,0.922,2012-07-11
711,0.9690000000000001,2012-07-12
712,0.865,2012-07-13
713,0.94,2012-07-14
714,0.983,2012-07-15
715,0.621,2012-07-16
716,0.914,2012-07-17
717,0.9209999999999999,2012-07-18
718,0.89,2012-07-19
719,0.893,2012-07-20
720,0.863,2012-07-21
721,0.835,2012-07-22
722,0.956,2012-07-23
723,0.852,2012-07-24
724,0.525,2012-07-25
725,0.8320000000000001,2012-07-26
726,0.65,2012-07-27
727,0.836,2012-07-28
728,1.09,2012-07-29
729,0.607,2012-07-30
730,1.1,2012-07-31
731,1.12,2012-08-01
732,0.919,2012-08-02
733,0.877,2012-08-03
734,0.703,2012-08-04
735,0.8109999999999999,2012-08-05
736,0.897,2012-08-06
737,0.9540000000000001,2012-08-07
738,0.963,2012-08-08
739,1.19,2012-08-09
740,1.06,2012-08-10
741,1.15,2012-08-11
742,1.11,2012-08-12
743,1.13,2012-08-13
744,1.43,2012-08-14
745,1.23,2012-08-15
746,0.889,2012-08-16
747,1.11,2012-08-17
748,1.07,2012-08-18
749,1.14,2012-08-19
750,1.22,2012-08-20
751,1.06,2012-08-21
752,1.09,2012-08-22
753,0.865,2012-08-23
754,0.867,2012-08-24
755,0.86,2012-08-25
756,1.02,2012-08-26
757,0.866,2012-08-27
758,0.88,2012-08-28
759,0.94,2012-08-29
760,0.767,2012-08-30
761,1.03,2012-08-31
762,0.971,2012-09-01
763,0.9259999999999999,2012-09-02
764,0.963,2012-09-03
765,0.865,2012-09-04
766,1.1,2012-09-05
767,1.2,2012-09-06
768,0.9690000000000001,2012-09-07
769,1.11,2012-09-08
770,1.06,2012-09-09
771,1.02,2012-09-10
772,1.08,2012-09-11
773,1.06,2012-09-12
774,1.09,2012-09-13
775,1.04,2012-09-14
776,0.887,2012-09-15
777,1.0,2012-09-16
778,0.9840000000000001,2012-09-17
779,1.19,2012-09-18
780,1.05,2012-09-19
781,1.11,2012-09-20
782,1.09,2012-09-21
783,1.13,2012-09-22
784,1.07,2012-09-23
785,1.21,2012-09-24
786,1.07,2012-09-25
787,1.1,2012-09-26
788,0.7240000000000001,2012-09-27
789,1.02,2012-09-28
790,1.22,2012-09-29
791,1.17,2012-09-30
792,1.06,2012-10-01
793,1.09,2012-10-02
794,1.02,2012-10-03
795,1.12,2012-10-04
796,1.06,2012-10-05
797,1.04,2012-10-06
798,1.0,2012-10-07
