,Date,flow mgd,NH3 mg/L N,NO3 mg/L N,NO2 mg/L N,TP mg/L P,TKN mg/L N
456,1993-12-03,50.0,,,,,
457,1993-12-04,50.3,,,,,
458,1993-12-05,49.4,21.1,0.1,0.02,,
459,1993-12-06,15.2,,,,,
460,1993-12-07,,,,,,
461,1993-12-08,,,,,,
462,1993-12-09,30.7,21.8,,,,
463,1993-12-10,36.8,,,,,
464,1993-12-11,36.0,,,,,
465,1993-12-12,47.9,21.7,0.1,0.02,,
466,1993-12-13,30.9,,,,,
467,1993-12-14,25.4,21.4,,,,
468,1993-12-15,33.0,,,,,
469,1993-12-16,33.1,,,,,
470,1993-12-17,27.7,,,,,
471,1993-12-18,27.0,,,,,
472,1993-12-19,33.7,,,,,
473,1993-12-20,34.8,21.0,0.2,0.03,,
474,1993-12-21,19.2,22.1,,,,
475,1993-12-22,,,,,,
476,1993-12-23,,,,,,
477,1993-12-24,,,,,,
478,1993-12-25,,,,,,
479,1993-12-26,,,,,,
480,1993-12-27,,,,,,
481,1993-12-28,,,,,,
482,1993-12-29,,,,,,
483,1993-12-30,,,,,,
484,1993-12-31,,,,,,
485,1994-01-01,,,,,,
486,1994-01-02,,,,,,
487,1994-01-03,30.68,21.5,,,,
488,1994-01-04,48.04,23.1,0.1,0.02,,
489,1994-01-05,41.9,,,,,
490,1994-01-06,36.49,19.9,,,,
491,1994-01-07,36.45,,,,,
492,1994-01-08,37.23,,,,,
493,1994-01-09,,,,,,
494,1994-01-10,,,,,,
495,1994-01-11,,,,,,
496,1994-01-12,,,,,,
497,1994-01-13,,,,,,
498,1994-01-14,,,,,,
499,1994-01-15,13.67,,,,,
500,1994-01-16,38.76,,,,,
501,1994-01-17,40.2,,,,,
502,1994-01-18,37.34,22.6,0.1,0.01,,
503,1994-01-19,55.62,,,,,
504,1994-01-20,61.97,23.3,,,,
505,1994-01-21,63.43,,,,,
506,1994-01-22,56.64,,,,,
507,1994-01-23,47.73,,,,,
508,1994-01-24,49.82,23.0,0.2,0.03,,
509,1994-01-25,,,,,,
510,1994-01-26,,,,,,
511,1994-01-27,,,,,,
512,1994-01-28,,,,,,
513,1994-01-29,,,,,,
514,1994-01-30,,,,,,
515,1994-01-31,,,,,,
516,1994-02-01,,,,,,
517,1994-02-02,,,,,,
518,1994-02-03,45.1,22.5,0.1,0.02,,
519,1994-02-04,52.53,,,,,
520,1994-02-05,48.0,,,,,
521,1994-02-06,47.03,20.6,,,,
522,1994-02-07,48.58,,,,,
523,1994-02-08,43.31,20.6,0.2,0.03,,
524,1994-02-09,47.5,,,,,
525,1994-02-10,36.85,19.6,,,,
526,1994-02-11,25.13,,,,,
527,1994-02-12,,,,,,
528,1994-02-13,,,,,,
529,1994-02-14,14.03,,,,,
530,1994-02-15,22.47,20.3,0.1,0.01,,
531,1994-02-16,29.27,,,,,
532,1994-02-17,30.37,16.5,,,,
533,1994-02-18,38.51,,,,,
534,1994-02-19,46.4,,,,,
535,1994-02-20,45.53,,,,,
536,1994-02-21,48.27,,,,,
537,1994-02-22,44.07,18.4,0.4,0.06,,
538,1994-02-23,,,,,,
539,1994-02-24,,,,,,
540,1994-02-25,,,,,,
541,1994-02-26,,,,,,
542,1994-02-27,,,,,,
543,1994-02-28,,,,,,
544,1994-03-01,,,,,,
545,1994-03-02,,,,,,
546,1994-03-03,,,,,,
547,1994-03-04,,,,,,
548,1994-03-05,,,,,,
549,1994-03-06,21.92,17.3,,,,
550,1994-03-07,34.27,,,,,
551,1994-03-08,46.11,17.3,0.2,0.06,,
552,1994-03-09,47.55,,,,,
553,1994-03-10,47.76,17.2,,,,
554,1994-03-11,36.64,,,,,
555,1994-03-12,44.53,,,,,
556,1994-03-13,45.7,18.7,,,,
557,1994-03-14,45.45,,,,,
558,1994-03-15,40.93,17.4,0.4,0.08,,
559,1994-03-16,12.78,,,,,
560,1994-03-17,,,,,,
561,1994-03-18,17.47,,,,,
562,1994-03-19,23.79,,,,,
563,1994-03-20,23.51,16.4,,,,
564,1994-03-21,20.89,,,,,
565,1994-03-22,3.54,,,,,
566,1994-03-23,,,,,,
567,1994-03-24,,,,,,
568,1994-03-25,,,,,,
569,1994-03-26,,,,,,
570,1994-03-27,,,,,,
571,1994-03-28,,,,,,
572,1994-03-29,,,,,,
573,1994-03-30,,,,,,
574,1994-03-31,,,,,,
575,1994-04-01,,,,,,
576,1994-04-02,,,,,,
577,1994-04-03,,,,,,
578,1994-04-04,19.91,,,,,
579,1994-04-05,35.99,14.3,0.3,0.14,,
580,1994-04-06,21.68,,,,,
581,1994-04-07,12.41,13.0,,,,
582,1994-04-08,44.08,,,,,
583,1994-04-09,41.66,,,,,
584,1994-04-10,38.36,8.5,,,,
585,1994-04-11,38.87,,,,,
586,1994-04-12,33.18,4.8,4.8,1.9,,
587,1994-04-13,22.44,,,1.82,,
588,1994-04-14,23.38,7.7,,,,
589,1994-04-15,35.36,,,,,
590,1994-04-16,35.15,,,,,
591,1994-04-17,36.41,3.6,,,,
592,1994-04-18,37.38,,,,,
593,1994-04-19,35.01,3.4,7.9,0.04,,
594,1994-04-20,35.05,,,,,
595,1994-04-21,11.07,4.4,,,,
596,1994-04-22,,,,,,
597,1994-04-23,,,,,,
598,1994-04-24,,,,,,
599,1994-04-25,,,,,,
600,1994-04-26,,,,,,
601,1994-04-27,,,,,,
602,1994-04-28,,,,,,
603,1994-04-29,,,,,,
604,1994-04-30,,,,,,
605,1994-05-01,,,,,,
606,1994-05-02,35.44,,,,,
607,1994-05-03,37.03,0.5,6.5,0.01,,
608,1994-05-04,36.38,,,,,
609,1994-05-05,36.01,,,,,
610,1994-05-06,31.88,,,,,
611,1994-05-07,35.59,,,,,
612,1994-05-08,36.07,2.6,,,,
613,1994-05-09,35.26,,,,,
614,1994-05-10,34.94,3.4,4.8,0.14,,
615,1994-05-11,35.79,,,,,
616,1994-05-12,34.94,4.1,,,,
617,1994-05-13,34.57,,,,,
618,1994-05-14,27.87,,,,,
619,1994-05-15,22.51,5.5,,,,
620,1994-05-16,1.43,,,,,
621,1994-05-17,,,,,,
622,1994-05-18,,,,,,
623,1994-05-19,,,,,,
624,1994-05-20,,,,,,
625,1994-05-21,,,,,,
626,1994-05-22,,,,,,
627,1994-05-23,22.81,,,,,
628,1994-05-24,33.15,7.0,1.9,0.3,,
629,1994-05-25,34.64,,,,,
630,1994-05-26,37.56,6.6,,,,
631,1994-05-27,34.18,,,,,
632,1994-05-28,35.89,,,,,
633,1994-05-29,36.08,,,,,
634,1994-05-30,,,,,,
635,1994-05-31,,,,,,
636,1994-06-01,,,,,,
637,1994-06-02,26.63,5.5,,,,
638,1994-06-03,44.99,,,,,
639,1994-06-04,43.5,,,,,
640,1994-06-05,45.05,4.3,,,,
641,1994-06-06,30.64,,,,,
642,1994-06-07,2.16,,,,,
643,1994-06-08,11.83,,,,,
644,1994-06-09,23.93,,,,,
645,1994-06-10,23.89,,,,,
646,1994-06-11,20.64,,,,,
647,1994-06-12,22.94,3.7,,,,
648,1994-06-13,4.38,,,,,
649,1994-06-14,,,,,,
650,1994-06-15,17.02,,,,,
651,1994-06-16,21.07,3.7,,,,
652,1994-06-17,8.17,,,,,
653,1994-06-18,,,,,,
654,1994-06-19,,,,,,
655,1994-06-20,19.5,,,,,
656,1994-06-21,11.76,2.9,2.9,0.03,,
657,1994-06-22,19.65,,,,,
658,1994-06-23,8.77,2.5,,,,
659,1994-06-24,,,,,,
660,1994-06-25,20.91,,,,,
661,1994-06-26,22.63,2.7,,,,
662,1994-06-27,22.88,,,,,
663,1994-06-28,22.27,2.2,0.5,0.02,,
664,1994-06-29,18.5,,,,,
665,1994-06-30,17.43,2.0,,,,
666,1994-07-01,15.77,,,,,
667,1994-07-02,22.13,,,,,
668,1994-07-03,23.23,,,,,
669,1994-07-04,13.78,,,,,
670,1994-07-05,,,,,,
