,Date,flow mgd,NH4 mg/L N,NO3 mg/L N,NO2 mg/L N,TKN mg/L N,TP mg/L P,PO4 mg/L P,NH4_kgd,NO3_kgd,NO2_kgd,TKN_kgd,TP_kgd,PO4_kgd
342,12/9/2001,162.4,,,,,,,,,,,,
343,12/10/2001,159.2,,0.1,0.23,,,,,60.26832775,138.6171538,,,
344,12/11/2001,157.4,22.0,,,,,,13104.66643,,,,,
345,12/12/2001,155.9,23.0,,,,,,13567.938890000001,,,,,
346,12/13/2001,155.1,,,,,,,,,,,,
347,12/14/2001,231.7,,,,,,,,,,,,
348,12/15/2001,164.9,,,,,,,,,,,,
349,12/16/2001,159.6,,,,,,,,,,,,
350,12/17/2001,172.0,,0.1,0.36,,,,,65.09706942,234.3494499,,,
351,12/18/2001,130.5,22.0,,,,,,10867.252,,,,,
352,12/19/2001,177.8,23.0,,,,,,15475.57075,,,,,
353,12/20/2001,226.0,,,,,,,,,,,,
354,12/21/2001,221.6,,,,,,,,,,,,
355,12/22/2001,186.7,,,,,,,,,,,,
356,12/23/2001,190.4,,0.2,0.4,,,,,144.1678019,281.12721380000005,,,
357,12/24/2001,176.2,,,,,,,,,,,,
358,12/25/2001,156.2,20.0,,,,,,11823.57648,,,,,
359,12/26/2001,159.4,24.0,,,,,,14482.16753,,,,,
360,12/27/2001,165.0,,,,,,,,,,,,
361,12/28/2001,221.5,,,,,,,,,,,,
362,12/29/2001,285.7,,,,,,,,,,,,
363,12/30/2001,242.8,,,,,,,,,,,,
364,12/31/2001,232.3,,,,,,,,,,,,
365,1/1/2002,178.0,18.0,,,,,,12124.92356,,,,,
366,1/2/2002,296.3,19.0,0.1,0.2,,,,21310.09252,112.1583817,224.3167633,,,
367,1/3/2002,249.6,,,,,,,,,,,,
368,1/4/2002,187.6,,,,,,,,,,,,
369,1/5/2002,207.0,,,,,,,,,,,,
370,1/6/2002,201.2,,,,,,,,,,,,
371,1/7/2002,183.2,19.0,0.3,0.3,21,2.1,,13178.19766,215.0126987,194.20501819999998,14565.37636,1456.537636,
372,1/8/2002,177.6,,,,,,,,,,,,
373,1/9/2002,177.9,21.0,,,,,,14140.9582,,,,,
374,1/10/2002,173.0,,,,,1.9,,,,,,1244.168418,
375,1/11/2002,170.2,,,,,,,,,,,,
376,1/12/2002,168.6,,,,,,,,,,,,
377,1/13/2002,167.1,,,,,,,,,,,,
378,1/14/2002,156.6,,,,,,,,,,,,
379,1/15/2002,175.3,21.0,0.3,0.5,,,,13930.90955,192.3792271,311.78702319999996,,,
380,1/16/2002,161.6,22.0,,,,,,13457.671409999999,,,,,
381,1/17/2002,161.3,,,,,,,,,,,,
382,1/18/2002,161.2,,,,,,,,,,,,
383,1/19/2002,160.3,,,,,,,,,,,,
384,1/20/2002,157.6,,,,,,,,,,,,
385,1/21/2002,133.7,23.0,0.5,0.7,,,,11634.92355,237.75713330000002,364.22369360000005,,,
386,1/22/2002,129.9,21.0,,,,,,10321.48489,,,,,
387,1/23/2002,179.8,,,,,,,,,,,,
388,1/24/2002,169.0,,,,,,,,,,,,
389,1/25/2002,163.1,,,,,,,,,,,,
390,1/26/2002,197.9,,,,,,,,,,,,
391,1/27/2002,169.1,,,,,,,,,,,,
392,1/28/2002,168.6,21.0,0.1,0.2,,,,13399.98459,76.57134051,102.09512070000001,,,
393,1/29/2002,158.3,21.0,,,,,,12586.3888,,,,,
394,1/30/2002,151.1,,,,,,,,,,,,
395,1/31/2002,160.8,,,,,,,,,,,,
396,2/1/2002,159.4,,,,,,,,,,,,
397,2/2/2002,159.0,,,,,,,,,,,,
398,2/3/2002,161.1,,,,,,,,,,,,
399,2/4/2002,163.2,21.0,1.0,0.5,23,1.8,,12970.41736,605.2861432999999,333.5250177,14205.6952,1111.750059,
400,2/5/2002,158.1,21.0,,,,,,12564.745809999999,,,,,
401,2/6/2002,150.5,,,,,,,,,,,,
402,2/7/2002,140.0,,,,,,,,,,,,
403,2/8/2002,206.8,,,,,,,,,,,,
404,2/9/2002,160.0,,,,,,,,,,,,
405,2/10/2002,157.0,,,,,,,,,,,,
406,2/11/2002,159.7,21.0,0.3,0.2,,,,12690.56193,151.07811819999998,102.7331204,,,
407,2/12/2002,156.0,22.0,,,,,,12987.97886,,,,,
408,2/13/2002,149.5,,,,,,,,,,,,
409,2/14/2002,156.8,,,,,,,,,,,,
410,2/15/2002,156.8,,,,,,,,,,,,
411,2/16/2002,160.0,,,,,,,,,,,,
412,2/17/2002,192.4,,,,,,,,,,,,
413,2/18/2002,163.3,22.0,1.1,0.2,,,,13594.94801,679.7474003,142.12900190000002,,,
414,2/19/2002,173.8,22.0,,,,,,14469.69454,,,,,
415,2/20/2002,160.4,,,,,,,,,,,,
416,2/21/2002,156.6,,,,,2.0,,,,,,1185.5371089999999,
417,2/22/2002,155.9,,,,,,,,,,,,
418,2/23/2002,158.3,,,,,,,,,,,,
419,2/24/2002,155.7,,,,,,,,,,,,
420,2/25/2002,155.9,22.0,0.2,0.1,,,,12983.21607,135.7336226,59.01461851,,,
421,2/26/2002,153.7,23.0,,,,,,13382.96137,,,,,
422,2/27/2002,151.7,,,,,,,,,,,,
423,2/28/2002,154.5,,,,,,,,,,,,
424,3/1/2002,151.7,,,,,,,,,,,,
425,3/2/2002,154.0,,,,,,,,,,,,
426,3/3/2002,150.1,,,,,,,,,,,,
427,3/4/2002,161.0,,1.0,0.2,25,2.2,,,590.945958,115.752301,15230.56593,1340.289802,
428,3/5/2002,141.5,22.0,,,,,,11785.37918,,,,,
429,3/6/2002,228.4,21.0,,,,,,18157.71911,,,,,
430,3/7/2002,221.1,,,,,,,,,,,,
431,3/8/2002,178.0,,,,,,,,,,,,
432,3/9/2002,172.5,,,,,,,,,,,,
433,3/10/2002,222.2,,1.3,0.2,,,,,1093.544239,151.41381769999998,,,
434,3/11/2002,177.9,,0.3,0.1,,,,,175.08905190000002,67.34194304,,,
435,3/12/2002,167.9,20.0,,,,2.6,,12709.31662,,,,1652.21116,
436,3/13/2002,174.5,22.0,,,,,,14532.505980000002,,,,,
437,3/14/2002,154.1,,,,,,,,,,,,
438,3/15/2002,147.9,,,,,,,,,,,,
439,3/16/2002,148.9,,,,,,,,,,,,
440,3/17/2002,149.5,,,,,,,,,,,,
441,3/18/2002,147.5,,0.7,0.1,,,,,374.0396481,55.82681314,,,
442,3/19/2002,140.7,22.0,,,,,,11715.268590000001,,,,,
443,3/20/2002,147.3,23.0,,,,,,12826.03652,,,,,
444,3/21/2002,158.3,,,,,,,,,,,,
445,3/22/2002,182.6,,,,,,,,,,,,
446,3/23/2002,228.1,,,,,,,,,,,,
447,3/24/2002,175.9,,,,,,,,,,,,
448,3/25/2002,163.8,,0.3485,0.0388,,,,,216.0725449,24.05628333,,,
449,3/26/2002,160.9,22.0,,,,,,13400.368770000001,,,,,
