,NO3 mg/L N,Time
309,5.4,2015-02-27 10:30:00
310,,2015-02-27 11:51:00
311,14.0,2015-03-11 07:30:00
312,1.8,2015-03-11 07:35:00
313,0.087,2015-04-06 11:35:00
314,0.13,2015-04-06 11:45:00
315,,2015-05-05 10:25:00
316,0.53,2015-05-05 11:00:00
317,3.0,2015-05-13 09:02:00
318,3.6,2015-05-13 10:29:00
319,1.6,2015-05-13 10:55:00
320,,2015-05-13 14:09:00
321,0.42,2015-05-13 15:26:00
322,2.2,2015-05-14 08:55:00
323,5.5,2015-05-14 10:46:00
324,,2015-05-14 11:50:00
325,1.1,2015-05-15 10:45:00
326,0.012,2015-05-15 11:46:00
327,0.46,2015-06-02 13:55:00
328,,2015-06-02 14:00:00
329,,2015-07-07 09:10:00
330,,2015-07-07 09:40:00
331,,2015-08-04 11:10:00
332,0.18,2015-08-04 11:15:00
333,2.3,2015-08-13 09:15:00
334,0.72,2015-08-13 10:25:00
335,3.7,2015-08-13 11:50:00
336,0.06,2015-08-13 14:07:00
337,1.6,2015-08-14 08:42:00
338,,2015-08-14 09:43:00
339,0.51,2015-08-14 12:03:00
340,0.026000000000000002,2015-08-14 13:30:00
341,,2015-09-01 08:45:00
342,,2015-09-01 08:50:00
343,,2015-10-06 11:35:00
344,,2015-10-06 11:40:00
345,0.18,2015-10-19 09:16:00
346,0.13,2015-10-19 11:06:00
347,2.0,2015-10-19 12:12:00
348,,2015-10-19 14:24:00
349,,2015-10-20 08:52:00
350,,2015-10-20 10:24:00
351,0.11,2015-10-20 13:21:00
352,,2015-10-20 14:57:00
353,,2015-11-10 12:00:00
354,,2015-11-10 12:08:00
355,0.096,2015-12-01 13:23:00
356,0.13,2015-12-01 13:28:00
357,0.12,2016-01-05 10:45:00
358,0.12,2016-01-05 11:00:00
359,0.043,2016-02-02 11:30:00
360,0.077,2016-02-02 11:33:00
361,0.11,2016-02-22 09:30:00
362,0.035,2016-02-22 10:55:00
363,0.24,2016-02-23 09:45:00
364,3.0,2016-02-23 10:20:00
365,2.4,2016-02-24 07:55:00
366,,2016-02-24 09:50:00
367,,2016-02-24 10:50:00
368,1.3,2016-02-25 07:55:00
369,4.0,2016-02-25 09:42:00
370,,2016-02-25 12:00:00
371,3.1,2016-03-01 10:38:00
372,6.4,2016-03-01 10:55:00
373,,2016-04-05 08:28:00
374,,2016-04-05 08:35:00
375,4.5,2016-05-03 11:37:00
376,1.2,2016-05-03 11:44:00
377,0.31,2016-05-25 09:02:00
378,2.5,2016-05-31 08:25:00
379,1.5,2016-05-31 10:08:00
380,2.8,2016-05-31 11:50:00
381,1.2,2016-06-01 08:23:00
382,0.33,2016-06-01 10:29:00
383,0.26,2016-06-02 09:54:00
384,3.7,2016-06-02 12:41:00
385,,2016-06-03 09:47:00
386,0.89,2016-06-03 11:23:00
387,0.23,2016-06-03 12:36:00
388,0.096,2016-06-07 10:15:00
389,0.07400000000000001,2016-06-07 10:22:00
390,0.1,2016-07-05 12:15:00
391,0.53,2016-07-05 12:30:00
392,0.49,2016-07-18 09:25:00
393,0.043,2016-08-02 08:30:00
394,0.065,2016-08-02 08:40:00
395,0.054000000000000006,2016-08-08 08:49:00
396,2.7,2016-08-08 09:35:00
397,0.79,2016-08-08 10:58:00
398,3.1,2016-08-08 12:00:00
399,0.055,2016-08-09 09:13:00
400,0.68,2016-08-09 10:58:00
401,,2016-08-09 12:12:00
402,2.1,2016-08-10 09:14:00
403,0.29,2016-08-10 10:14:00
404,0.078,2016-09-13 10:40:00
405,,2016-09-13 10:55:00
406,,2016-10-04 09:10:00
407,,2016-10-04 09:44:00
408,1.4,2016-10-31 09:38:00
409,0.17,2016-10-31 10:37:00
410,3.5,2016-10-31 11:28:00
411,0.03,2016-10-31 12:37:00
412,0.28,2016-11-01 11:12:00
413,2.0,2016-11-01 12:10:00
414,1.6,2016-11-01 12:20:00
415,0.72,2016-11-03 09:44:00
416,,2016-11-03 11:17:00
417,1.8,2016-11-04 10:31:00
418,0.28,2016-11-04 11:42:00
419,6.2,2016-12-06 11:00:00
420,6.3,2016-12-06 11:10:00
421,8.9,2017-01-03 13:35:00
422,6.0,2017-01-03 13:40:00
423,11.0,2017-02-07 10:12:00
424,13.0,2017-02-07 10:15:00
425,5.1,2017-02-27 09:30:00
426,7.5,2017-02-27 11:46:00
427,,2017-02-27 12:56:00
428,4.0,2017-02-28 09:27:00
429,0.83,2017-02-28 11:03:00
430,3.1,2017-03-01 09:30:00
431,11.0,2017-03-01 10:53:00
432,4.2,2017-03-01 12:29:00
433,8.1,2017-03-13 10:55:00
434,8.0,2017-03-13 11:00:00
