,NH3 mg/L N,Time
352,0.2,2013-08-12 08:27:00
353,0.1,2013-08-12 08:32:00
354,1.8,2013-08-19 07:42:00
355,0.1,2013-08-19 07:57:00
356,0.4,2013-08-19 10:00:00
357,0.1,2013-08-22 07:45:00
358,0.2,2013-08-26 07:24:00
359,0.1,2013-08-26 07:55:00
360,0.1,2013-08-26 10:14:00
361,0.2,2013-08-27 10:09:00
362,0.5,2013-09-02 07:34:00
363,0.2,2013-09-02 07:49:00
364,0.1,2013-09-02 10:35:00
365,0.5,2013-09-03 10:55:00
366,0.2,2013-09-08 08:05:00
367,0.2,2013-09-08 09:50:00
368,0.3,2013-09-09 07:55:00
369,1.3,2013-09-16 07:57:00
370,0.7,2013-09-16 08:17:00
371,0.6,2013-09-16 13:03:00
372,0.1,2013-09-23 07:45:00
373,0.3,2013-09-23 08:47:00
374,0.5,2013-09-23 10:54:00
375,0.1,2013-09-30 07:55:00
376,0.2,2013-10-07 07:49:00
377,0.1,2013-10-08 07:55:00
378,0.4,2013-10-14 07:57:00
379,0.2,2013-10-21 07:45:00
380,0.2,2013-10-28 07:55:00
381,0.5,2013-10-29 08:00:00
382,0.7,2013-10-29 10:00:00
383,0.4,2013-11-04 07:44:00
384,0.4,2013-11-11 07:43:00
385,0.1,2013-11-14 07:50:00
386,0.4,2013-11-18 07:50:00
387,0.5,2013-11-25 08:08:00
388,0.8,2013-12-02 08:14:00
389,0.2,2013-12-04 07:48:00
390,1.1,2013-12-09 08:11:00
391,0.8,2013-12-16 08:07:00
392,0.8,2013-12-23 07:45:00
393,1.2,2013-12-30 08:11:00
394,1.9,2014-01-06 07:59:00
395,2.2,2014-01-13 08:18:00
396,1.5,2014-01-20 07:39:00
397,0.3,2014-01-23 08:00:00
398,1.1,2014-01-27 07:57:00
399,0.7,2014-02-03 08:18:00
400,0.3,2014-02-04 07:55:00
401,0.6,2014-02-10 08:10:00
402,0.5,2014-02-17 07:39:00
403,0.6,2014-02-24 08:10:00
404,0.5,2014-03-03 08:15:00
405,0.4,2014-03-05 08:19:00
406,0.5,2014-03-10 08:20:00
407,0.2,2014-03-19 08:13:00
408,0.4,2014-03-24 08:08:00
409,0.3,2014-03-31 08:12:00
410,0.3,2014-04-07 08:10:00
411,0.3,2014-04-14 07:59:00
412,0.2,2014-04-21 07:48:00
413,0.2,2014-04-28 08:13:00
414,0.8,2014-05-05 08:24:00
415,1.0,2014-05-05 15:20:00
416,0.6,2014-05-06 13:40:00
417,0.4,2014-05-12 08:19:00
418,0.3,2014-05-19 08:01:00
419,0.3,2014-05-26 07:34:00
420,0.4,2014-05-29 13:05:00
421,0.5,2014-06-02 07:18:00
422,0.3,2014-06-02 07:54:00
423,0.2,2014-06-09 08:09:00
424,0.5,2014-06-09 09:38:00
425,0.2,2014-06-09 11:47:00
426,0.3,2014-06-11 11:03:00
427,0.2,2014-06-12 10:15:00
428,0.4,2014-06-13 09:18:00
429,0.2,2014-06-16 08:19:00
430,0.9,2014-06-16 08:58:00
431,0.5,2014-06-16 11:23:00
432,2.1,2014-06-18 09:26:00
433,0.2,2014-06-23 08:06:00
434,0.3,2014-06-30 07:53:00
435,0.7,2014-06-30 11:54:00
436,0.9,2014-07-01 09:24:00
437,0.5,2014-07-07 07:14:00
438,0.29,2014-07-07 10:45:00
439,0.06,2014-07-07 10:52:00
440,0.5,2014-07-08 08:15:00
441,0.4,2014-07-14 07:30:00
442,0.3,2014-07-14 08:28:00
443,0.4,2014-07-14 09:20:00
444,0.08,2014-07-14 10:42:00
445,0.05,2014-07-14 10:48:00
446,0.6,2014-07-20 07:15:00
447,0.4,2014-07-21 08:23:00
448,0.07,2014-07-21 10:52:00
449,0.04,2014-07-21 10:57:00
450,0.3,2014-07-28 08:13:00
451,0.18,2014-07-28 10:44:00
452,0.12,2014-07-28 10:47:00
453,0.4,2014-07-30 07:46:00
454,0.3,2014-07-31 09:12:00
455,0.5,2014-08-04 07:15:00
456,0.3,2014-08-04 09:35:00
457,0.16,2014-08-04 10:56:00
458,0.1,2014-08-04 11:00:00
459,1.0,2014-08-04 11:38:00
460,0.3,2014-08-07 12:49:00
461,0.8,2014-08-11 07:22:00
462,1.0,2014-08-11 09:39:00
463,0.2,2014-08-11 10:48:00
464,0.06,2014-08-11 11:32:00
465,0.06,2014-08-11 11:39:00
466,0.5,2014-08-13 14:35:00
467,1.0,2014-08-17 09:55:00
468,0.8,2014-08-18 07:32:00
469,0.6,2014-08-18 10:15:00
470,0.24,2014-08-18 10:42:00
471,0.17,2014-08-18 10:48:00
472,0.3,2014-08-18 11:10:00
473,0.2,2014-08-21 11:27:00
474,0.2,2014-08-25 08:16:00
475,0.6,2014-08-25 08:40:00
476,1.1,2014-08-25 10:29:00
477,0.13,2014-08-25 10:37:00
478,0.15,2014-08-25 10:43:00
479,0.3,2014-08-26 15:10:00
480,0.5,2014-09-01 07:28:00
481,0.1,2014-09-01 08:52:00
482,1.8,2014-09-01 10:25:00
483,0.16,2014-09-01 11:14:00
484,0.06,2014-09-01 11:18:00
485,0.2,2014-09-08 08:14:00
486,0.6,2014-09-08 10:38:00
487,0.19,2014-09-08 10:43:00
488,0.13,2014-09-08 10:48:00
489,0.7,2014-09-09 07:25:00
490,0.4,2014-09-09 09:29:00
491,0.1,2014-09-10 08:10:00
492,0.7,2014-09-15 07:20:00
493,0.2,2014-09-15 08:24:00
494,0.6,2014-09-15 09:28:00
495,0.2,2014-09-15 10:34:00
496,0.12,2014-09-15 10:40:00
497,0.6,2014-09-15 13:05:00
498,0.8,2014-09-22 07:18:00
499,0.3,2014-09-22 08:39:00
500,0.1,2014-09-22 10:24:00
501,0.2,2014-09-22 11:06:00
502,0.15,2014-09-22 11:09:00
503,0.7,2014-09-29 07:45:00
504,0.2,2014-09-29 07:47:00
505,0.1,2014-09-29 10:05:00
506,0.17,2014-09-29 10:42:00
507,0.13,2014-09-29 10:46:00
508,0.8,2014-10-05 10:18:00
509,0.5,2014-10-06 07:32:00
510,0.3,2014-10-06 08:19:00
511,0.1,2014-10-06 10:37:00
512,0.2,2014-10-06 10:41:00
513,3.4,2014-10-08 10:55:00
514,0.7,2014-10-13 07:00:00
515,0.1,2014-10-13 08:30:00
516,0.1,2014-10-13 10:18:00
517,0.2,2014-10-13 11:30:00
518,0.2,2014-10-13 11:33:00
519,0.7,2014-10-20 07:20:00
520,0.3,2014-10-20 08:15:00
521,0.2,2014-10-20 08:52:00
522,0.1,2014-10-20 08:58:00
523,0.9,2014-10-20 09:25:00
524,0.2,2014-10-27 08:22:00
525,0.2,2014-10-27 11:59:00
526,0.1,2014-10-27 12:05:00
527,0.2,2014-11-03 08:18:00
528,0.3,2014-11-03 10:38:00
529,0.1,2014-11-03 10:43:00
530,0.3,2014-11-10 07:55:00
531,0.2,2014-11-10 09:31:00
532,0.1,2014-11-10 09:34:00
533,0.3,2014-11-17 08:18:00
534,0.3,2014-11-17 10:46:00
535,0.2,2014-11-17 10:50:00
536,0.7,2014-11-19 07:26:00
537,0.4,2014-11-24 08:10:00
538,0.08,2014-11-24 11:07:00
539,0.07,2014-11-24 11:14:00
540,0.4,2014-11-25 09:41:00
541,0.9,2014-12-01 08:12:00
542,0.3,2014-12-01 10:45:00
543,0.2,2014-12-01 10:49:00
544,0.4,2014-12-08 08:26:00
545,0.2,2014-12-08 10:45:00
546,0.1,2014-12-08 10:50:00
547,0.3,2014-12-15 08:10:00
548,0.4,2014-12-15 11:12:00
549,0.4,2014-12-15 11:20:00
550,0.8,2014-12-22 08:17:00
551,0.5,2014-12-22 10:59:00
552,0.4,2014-12-22 11:03:00
553,0.7,2014-12-29 08:26:00
554,0.2,2014-12-29 10:54:00
