Subembayment,Facility,Year,Quart,Date,Flow  (MGD),Peak Flow (MGD),TN (mg/L),TDN (mg/L),TKN (mg/L),SKN (mg/L),NO3 (mg/L),NO2 (mg/L),Total NH3 (mg/L),Urea* (mg/L),TP (mg/L),TDP (mg/L),DRP** (mg/L),TSS (mg/L),TRP (mg/L)
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 1,Q4 2012,10/4/2012,2.63,2.65,23.002,22.642,1,0.64,22,0.002,0.003,,0.43,0.3,0.3,1.7,0.29
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 1,Q4 2012,11/1/2012,2.22,2.74,24.612,24.592,1.11,1.09,23.5,0.002,0.06,,0.79,0.7,0.7,4.7,0.7
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 1,Q4 2012,11/19/2012,3.2,3.22,18.362,18.012,1.56,1.21,16.8,0.002,0.003,,0.1,0.027,0.016,4.58,0.027
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 1,Q4 2012,12/3/2012,3.66,5.21,9.962,9.962,1.19,1.19,8.77,0.002,0.014,,0.26,0.18,0.18,5.72,0.18
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 1,Q1 2013,1/9/2013,3.18,3.2,22.58,22.58,0.86,0.86,21.7,0.02,0.05,,0.04,0.02,0.02,2.02,0.02
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 1,Q1 2013,2/4/2013,1.52,2.48,22.97,22.96,0.83,0.82,22.1,0.04,0.05,,0.23,0.13,0.13,3.42,0.13
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 1,Q1 2013,2/21/2013,2.78,2.87,23.902,23.902,1.1,1.1,22.8,0.002,0.0578,,0.075,0.005,0.005,6.96,0.005
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 1,Q1 2013,3/11/2013,2.31,2.66,12.93,12.84,1.31,1.22,11.6,0.02,0.04,,0.7,0.7,0.7,4.47,0.7
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 1,Q2 2013,4/4/2013,3.07,3.37,11.935,11.615,1.5,1.18,10.4,0.035,0.003,,0.464,0.45,0.36,1.2,0.352
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 1,Q2 2013,5/15/2013,1.94,1.99,26.842,26.822,0.381,0.361,26.4,0.061,0.073,,0.443,0.446,1.156,1,1.153
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 1,Q2 2013,6/12/2013,1.88,1.89,23.392,23.385,0.79,0.783,22.6,0.002,0.067,,0.634,0.629,0.484,5.4,0.485
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q3 2013,7/1/2013,2.18,2.33,15.062,14.856,0.56,0.354,14.5,0.002,0.046,,0.914,0.898,0.668,2.6,0.689
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q3 2013,8/14/2013,3.13,3.34,16.442,16.442,1.44,1.44,15,0.002,0.123,,0.657,0.653,0.493,7.6,0.488
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q3 2013,9/10/2013,1.46,2.33,28.542,28.532,1.34,1.33,27.2,0.002,0.143,,0.681,0.624,0.24,2.9,0.17
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q4 2013,10/8/2013,1.74,2.38,26.722,26.721,0.12,0.119,26.6,0.002,0.003,,1.09,1.08,1.02,2.3,1.04
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q4 2013,11/20/2013,3.64,3.69,24.723,24.711,0.121,0.109,24.6,0.002,0.003,,0.86,0.848,0.78,17,0.79
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q4 2013,12/11/2013,3.01,3.53,19.85,19.389,1.3,0.839,18.5,0.05,0.07,,0.163,0.132,0.005,5.2,0.005
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q1 2014,1/13/2014,2.18,2.2,21.804,21.7835,0.102,0.0815,21.7,0.002,0.003,,0.445,0.445,1.43,7.8,0.44
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q1 2014,2/6/2014,3.36,4,12.877,12.853,0.475,0.451,12.4,0.002,0.003,,0.745,0.735,0.73,10.5,0.73
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q1 2014,2/11/2014,4.99,5.4,8.672,8.582,1.5,1.41,7.17,0.002,0.003,,0.054,0.052,0.005,3.4,0.005
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q1 2014,2/19/2014,1.9,1.92,20.272,20.272,0.07,0.07,20.2,0.002,0.003,,0.219,0.231,0.171,5,0.224
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q1 2014,3/12/2014,2.16,2.74,24.452,24.393,0.75,0.691,23.7,0.002,0.003,,0.254,0.269,0.232,7.6,0.258
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q2 2014,4/8/2014,2.21,2.29,20.552,20.283,0.95,0.681,19.6,0.002,0.003,,0.226,0.219,0.22,5,0.21
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q2 2014,5/12/2014,2.19,2.23,25.562,25.282,1.36,1.08,24.2,0.002,0.082,,0.511,0.469,0.44,8.8,0.45
San Pablo Bay,Phillips 66 San Francisco Refinery,Y 2,Q2 2014,6/10/2014,1.94,1.98,18.832,18.819,0.23,0.217,18.6,0.002,0.003,,1.09,1.07,1.12,3.6,1.07
San Pablo Bay,Rodeo Sanitary District,Y 1,Q3 2012,7/1/2012,0.57,1.17,15.42,15.42,3.2,3.2,12,0.22,2.5,,4.6,4.2,4.2,3,
San Pablo Bay,Rodeo Sanitary District,Y 1,Q3 2012,8/13/2012,0.56,1.3,20.26,19.36,6.1,5.2,14,0.16,4.5,,4.2,4,4,4,
San Pablo Bay,Rodeo Sanitary District,Y 1,Q3 2012,9/15/2012,0.56,1.5,15.21,15.01,5.4,5.2,9.3,0.51,4.4,,4.1,4.2,3.9,3,
San Pablo Bay,Rodeo Sanitary District,Y 1,Q4 2012,10/12/2012,0.58,0.77,15.2,14.1,4.7,3.6,8.9,1.6,2.8,,4.9,5,4.7,5,
San Pablo Bay,Rodeo Sanitary District,Y 1,Q4 2012,11/15/2012,0.67,1.13,10.902,10.602,1.7,1.4,9.2,0.002,0.4,,3.3,2.9,3.1,3,
San Pablo Bay,Rodeo Sanitary District,Y 1,Q4 2012,12/7/2012,1.17,2.9,14.8,15,0.8,1,14,0,0.2,,2.3,2.5,2.9,3,
San Pablo Bay,Rodeo Sanitary District,Y 1,Q1 2013,1/10/2013,0.71,0.87,20.1,19.5,3.8,3.2,16,0.3,2.1,,3.2,3,3,5,
San Pablo Bay,Rodeo Sanitary District,Y 1,Q1 2013,2/12/2013,0.61,0.66,24.1,23.6,6.7,6.2,17,0.4,5.5,,3.8,3.6,3.8,12,
San Pablo Bay,Rodeo Sanitary District,Y 1,Q1 2013,3/20/2013,0.6,0.64,21.3,20.5,4.6,3.8,16,0.7,3.1,,4.4,4.4,4,8,
San Pablo Bay,Rodeo Sanitary District,Y 1,Q2 2013,4/12/2013,0.6,0.67,18.98,18.58,2.8,2.4,16,0.18,1.9,,3.9,4.1,4,3,
San Pablo Bay,Rodeo Sanitary District,Y 1,Q2 2013,5/10/2013,0.58,0.79,13.93,13.63,1.9,1.6,12,0.03,0.25,,4.8,4.4,4.2,4,
San Pablo Bay,Rodeo Sanitary District,Y 1,Q2 2013,6/6/2013,0.57,0.68,14.23,13.63,2.2,1.6,12,0.03,0.34,,3.8,3.8,3.6,4,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q3 2013,7/11/2013,0.57,0.7,12.16,12.13,0.13,0.1,12,0.03,0.24,,3.9,3.9,3.7,3,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q3 2013,8/13/2013,0.56,0.62,11.03,10.23,2,1.2,9,0.03,0.29,,0.87,0.74,0.87,3,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q3 2013,9/18/2013,0.58,0.83,18.691,18.291,4.6,4.2,14,0.091,0.68,,2.7,2.5,2.5,3,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q4 2013,10/15/2013,0.53,0.59,16.35,15.35,4.2,3.2,12,0.15,3.6,,2.4,2.4,2.2,3,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q4 2013,11/14/2013,0.54,0.69,13.6,13.21,0.57,0.18,13,0.03,0.25,,3,3,2.6,3,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q4 2013,12/12/2013,0.56,0.61,16.2,17.4,8.7,9.9,3.9,3.6,8.3,,4.5,4.5,4,3,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q1 2014,1/10/2014,0.57,0.64,21.33,19.83,3.3,1.8,18,0.03,2.3,,6.1,5.9,5.3,15,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q1 2014,2/3/2014,0.7,1.63,18.5,16.1,9.1,6.7,9.3,0.1,4.7,,3.8,4.2,3.7,10,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q1 2014,2/11/2014,0.7,1.63,9.43,9.13,1.4,1.1,8,0.03,0.33,,1.6,1.5,1.5,6,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q1 2014,3/18/2014,0.69,1.3,12.73,12.23,1.7,1.2,11,0.03,0.52,,3,3,2.9,3,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q2 2014,4/8/2014,0.72,1.67,12.32,10.77,2.3,0.75,9.9,0.12,1.5,,3.3,2.8,2.9,4,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q2 2014,5/7/2014,0.58,0.65,13.72,12.82,4.3,3.4,9.1,0.32,3.3,,3,3,3.2,3,
San Pablo Bay,Rodeo Sanitary District,Y 2,Q2 2014,6/10/2014,0.55,0.6,16.6,15.5,4.7,3.6,11,0.9,2.1,,2.5,2.4,2.3,4,
San Pablo Bay,Rodeo Sanitary District,Y 3,Q3 2014,7/11/2014,0.549,,15.87,,4.5,,11.37,,2.5,,4.1,,4.3,,
San Pablo Bay,Rodeo Sanitary District,Y 3,Q3 2014,8/13/2014,0.523,,15,,2,,13,,0.43,,3.1,,3.5,,
San Pablo Bay,Rodeo Sanitary District,Y 3,Q3 2014,9/12/2014,0.549,,15.07,,2.9,,12.17,,0.3,,5,,4.5,,
San Pablo Bay,Rodeo Sanitary District,Y 3,Q4 2014,10/15/2014,0.54,,16.91,,5.7,,11.21,,3,,3.75,,,,
San Pablo Bay,Rodeo Sanitary District,Y 3,Q4 2014,11/19/2014,0.51,,13.8,,1.8,,12,,0.23,,0.38,,,,
San Pablo Bay,Rodeo Sanitary District,Y 3,Q4 2014,12/3/2014,1.12,,8.4,,1.4,,7,,0.46,,0.59,,,,
San Pablo Bay,Rodeo Sanitary District,Y 3,Q4 2014,12/12/2014,4.12,,12.4,,2.4,,10,,0.86,,1.5,,,,
San Pablo Bay,Rodeo Sanitary District,Y 3,Q1 2015,1/13/2015,0.61,,10,,2.1,,7.9,,0.45,,0.32,,,,
San Pablo Bay,Rodeo Sanitary District,Y 3,Q1 2015,2/12/2015,0.77,,12,,3.6,,8.4,,1.4,,2.1,,,,
San Pablo Bay,Rodeo Sanitary District,Y 3,Q1 2015,3/17/2015,0.52,,17.9,,7.9,,10,,6.5,,4.4,,,,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q3 2012,7/30/2012,0.51,0.65,25.22,24.22,23,22,0.42,1.8,21,,3.3,4.3,2.9,12,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q3 2012,8/20/2012,0.51,0.6,30.78,18.78,30,18,0.36,0.42,27,,4.2,4,2.1,6,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q3 2012,9/5/2012,0.51,0.59,27.8,27.8,19,19,1.8,7,18,,4.8,4.8,3.9,11,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q4 2012,10/9/2012,0.61,1.1,32.123,30.123,32,30,0.1,0.023,28,,3.8,3.9,3.3,9,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q4 2012,11/20/2012,0.67,1.11,24.191,22.191,24,22,0.12,0.071,21,,3.3,3.4,2.6,7,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q4 2012,12/18/2012,1.16,2.77,13.5,13.5,12,12,0.2,1.3,11,,1.4,0.45,0.44,4,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q1 2013,1/23/2013,0.51,0.75,42.91,43.71,1.9,2.7,41,0.01,0.47,,5.2,4.9,4.7,20,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q1 2013,2/12/2013,0.46,0.5,38.7,37.7,33,32,1.9,3.8,32,,3.7,3.9,4.3,10,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q1 2013,3/20/2013,0.47,0.53,30.13,30.13,22,22,7.2,0.93,22,,6.5,6.3,3.4,12,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q2 2013,4/16/2013,0.501,0.709,34.6,33.6,20,19,13,1.6,19,,4.6,4.2,4.3,2,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q2 2013,5/14/2013,0.493,0.643,26.6,25.6,17,16,5.4,4.2,15,,3.6,3.4,2.6,11,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 1,Q2 2013,6/11/2013,0.537,0.72,29.5,25.5,24,20,2.7,2.8,18,,4.2,3,3.6,6,
Central Bay,Sanitary District No.5 of Marin County Main Plant,Y 3,Q3 2014,8/12/2014,0.556,,28.2,,26,,2.2,,23,,3.8,,3.2,,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q3 2012,7/31/2012,0.0128,0.0183,27.74,26.74,26,25,1.5,0.24,23,,3.7,3.8,3.4,4,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q3 2012,8/20/2012,0.0127,0.0183,45.217,42.317,4.2,1.3,41,0.017,0.59,,6.2,6.1,5.5,10,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q3 2012,9/5/2012,0.013,0.0172,44.63,43.47,2.1,0.94,42,0.53,0.35,,6.6,6.5,5.8,3,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q4 2012,10/9/2012,0.0144,0.0181,40.089,40.322,0.077,0.31,40,0.012,0.13,,6,6.1,5.9,9,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q4 2012,11/20/2012,0.0156,0.0248,24.192,23.192,24,23,0.12,0.072,21,,3.3,3.3,2.6,3,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q4 2012,12/18/2012,0.0199,0.0449,43.005,42.455,1,0.45,42,0.005,0.29,,3.5,5.2,3.1,10,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q1 2013,1/23/2013,0.0138,0.0227,22.54,23.54,22,23,0.21,0.33,21,,2.5,2.5,2.3,6,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q1 2013,2/12/2013,0.0129,0.0171,36.91,35.91,33,32,0.11,3.8,31,,4.1,4.4,3.5,6,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q1 2013,3/20/2013,0.0132,0.0178,53.38,53.08,3.1,2.8,50,0.28,0.7,,6.2,6.8,2.3,12,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q2 2013,4/16/2013,0.013,0.022,34.115,34.097,0.088,0.07,34,0.027,0.44,,6.9,5.5,6.5,2,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q2 2013,5/14/2013,0.015,0.023,49.372,49.142,0.37,0.14,49,0.002,0.35,,6.1,5.3,5.3,16,
Central Bay,Sanitary District No.5 of Marin County Paradise Cove Plant,Y 1,Q2 2013,6/11/2013,0.014,0.022,42.9,41.7,1.4,0.2,40,1.5,0.7,,6.1,5.9,5.3,9,
South Bay,City of San Mateo,Y 1,Q3 2012,7/10/2012,10.32,12.3,29.55,20.55,29,20,0.02,0.53,28,,2.3,2.4,2.5,3.9,
South Bay,City of San Mateo,Y 1,Q3 2012,7/19/2012,10.23,14.6,42.4,41.4,42,41,0.02,0.38,37,,3.3,3.1,2,4.8,
South Bay,City of San Mateo,Y 1,Q3 2012,8/3/2012,10.28,16.5,39.92,38.92,38,37,0.02,1.9,19,,3.5,3.2,2.7,2.7,
South Bay,City of San Mateo,Y 1,Q3 2012,8/14/2012,10.53,13.4,33.68,31.68,33,31,0.02,0.66,31,,1.8,1.6,1.7,4,
South Bay,City of San Mateo,Y 1,Q3 2012,9/4/2012,9.927,14.2,35.1,34.1,34,33,0.87,0.23,32,,3.1,3.6,2.1,4,
South Bay,City of San Mateo,Y 1,Q3 2012,9/11/2012,9.77,13.8,38.08,38.08,36,36,0.88,1.2,34,,3.3,3.2,3.2,2.8,
South Bay,City of San Mateo,Y 1,Q4 2012,10/2/2012,9.25,15.85,34.6,34.6,31,31,1.6,2,30,,3,3.2,2.5,3.5,
South Bay,City of San Mateo,Y 1,Q4 2012,10/11/2012,9.48438,18.3738,39.5,39.5,36,36,1.9,1.6,34,,3.8,3.7,3.8,4.7,
South Bay,City of San Mateo,Y 1,Q4 2012,11/8/2012,9.55,13.2,40.7,38.7,36,34,2.6,2.1,35,,3.7,3.4,3.3,4.9,
South Bay,City of San Mateo,Y 1,Q4 2012,11/15/2012,9.74,13,37.8,33.8,32,28,2.8,3,30,,3.8,3.6,3.1,5.4,
South Bay,City of San Mateo,Y 1,Q4 2012,12/6/2012,17.28,18.8,25.7,25.7,18,18,6.1,1.6,16,,2,1.9,1.7,5.4,
South Bay,City of San Mateo,Y 1,Q4 2012,12/11/2012,14,14.2,30.5,31.5,26,27,2.9,1.6,24,,2.6,2.6,3,8.8,
South Bay,City of San Mateo,Y 1,Q1 2013,1/3/2013,12.4,21.5,27.9,27.9,23,23,3.8,1.1,22,,2.5,2.3,1.9,6,
South Bay,City of San Mateo,Y 1,Q1 2013,1/7/2013,12.7,22.5,29,28,24,23,3.9,1.1,22,,2.3,1.9,1.7,5.4,
South Bay,City of San Mateo,Y 1,Q1 2013,2/5/2013,11.1,22.35,35,35,30,30,0.1,4.9,28,,3,3,2.7,6.4,
South Bay,City of San Mateo,Y 1,Q1 2013,2/20/2013,13.1,23.25,33.4,33.4,23,23,7.6,2.8,21,,2.8,2.7,2.4,8.4,
South Bay,City of San Mateo,Y 1,Q1 2013,3/13/2013,11.09,22.6,33.5,34.5,29,30,3.5,1,29,,3,2.7,2.7,4.4,
South Bay,City of San Mateo,Y 1,Q1 2013,3/19/2013,11,25.47,32.59,32.59,31,31,1.1,0.49,30,,3,3.1,2.7,6.4,
South Bay,City of San Mateo,Y 1,Q2 2013,4/9/2013,14.4,22.6,32.72,30.72,29,27,3,0.72,26,,2.6,2.9,2.5,10,
South Bay,City of San Mateo,Y 1,Q2 2013,4/23/2013,10.77,13.5,34.139,31.139,34,31,0.1,0.039,30,,3.3,2.7,1.3,21.2,
South Bay,City of San Mateo,Y 1,Q2 2013,5/14/2013,11.17,14.2,38.087,35.087,38,35,0.042,0.045,33,,2.9,2.5,2.3,9,
South Bay,City of San Mateo,Y 1,Q2 2013,5/21/2013,10.96,15.7,44.126,40.126,44,40,0.1,0.026,38,,3.2,2.9,2.7,10,
South Bay,City of San Mateo,Y 1,Q2 2013,6/5/2013,10.82,13.7,45.169,43.169,45,43,0.1,0.069,41,,2.9,2.5,2.2,7,
South Bay,City of San Mateo,Y 1,Q2 2013,6/12/2013,10.55,13.2,45.17,46.17,45,46,0.1,0.07,41,,3.4,0.58,2.8,5.4,
South Bay,City of San Mateo,Y 2,Q3 2013,7/9/2013,10.3,21.63,39.165,38.165,39,38,0.1,0.065,36,,3.4,3.3,2.7,17.2,
South Bay,City of San Mateo,Y 2,Q3 2013,8/6/2013,10.54,21.33,43.15,41.15,43,41,0.02,0.13,39,,3,3.3,2.4,7,
South Bay,City of San Mateo,Y 2,Q3 2013,8/13/2013,10.79,21.27,45.14,44.14,45,44,0.02,0.12,40,,3.1,2.7,2.4,4.2,
South Bay,City of San Mateo,Y 2,Q3 2013,9/10/2013,10.73,20.91,43.079,43.079,43,43,0.02,0.059,36,,2.9,2.6,2.5,5,
South Bay,City of San Mateo,Y 2,Q3 2013,9/26/2013,10.45,21.66,48.31,48.31,48,48,0.02,0.29,41,,3.2,3,2.6,3.2,
South Bay,City of San Mateo,Y 2,Q4 2013,10/1/2013,10.4,20.7,46.3,40.3,46,40,0.03,0.27,35,,2.7,2.6,2.3,3,
South Bay,City of San Mateo,Y 2,Q4 2013,10/8/2013,10.34,26.28,37.42,37.42,37,37,0.03,0.39,32,,2.4,5.3,2.6,2.8,
South Bay,City of San Mateo,Y 2,Q4 2013,11/12/2013,10.49,21.27,34.8,33.8,29,28,3.2,2.6,28,,3.5,3.4,3.4,2.8,
South Bay,City of San Mateo,Y 2,Q4 2013,11/25/2013,10.96,23.07,33.1,29.1,28,24,3.2,1.9,23,,2.7,2.5,2.6,3.1,
South Bay,City of San Mateo,Y 2,Q4 2013,12/10/2013,11.01,22.98,27.4,27.4,24,24,1.5,1.9,24,,2.7,2.6,0.096,4.5,
South Bay,City of San Mateo,Y 2,Q4 2013,12/16/2013,10.72,20.61,44.16,46.16,41,43,0.96,2.2,32,,3.6,3.6,2.4,2.8,
South Bay,City of San Mateo,Y 2,Q1 2014,1/7/2014,10.15,22.41,41.61,34.61,41,34,0.02,0.59,33,,3.2,2.8,2.9,9.2,
South Bay,City of San Mateo,Y 2,Q1 2014,1/29/2014,9.75,23.19,48.6,47.6,43,42,4,1.6,33,,4,3.8,3.2,5.4,
South Bay,City of San Mateo,Y 2,Q1 2014,2/4/2014,11.44,22.08,23.19,22.19,21,20,1.2,0.99,19,,1.7,1.5,1.9,8.7,
South Bay,City of San Mateo,Y 2,Q1 2014,2/27/2014,13.71,24.84,39.5,38.5,30,29,7.2,2.3,28,,3.3,3,1.1,6.4,
South Bay,City of San Mateo,Y 2,Q1 2014,3/11/2014,10.9,19.83,26.7,26.7,21,21,2.1,3.6,19,,2.6,2.5,2.5,3.6,
South Bay,City of San Mateo,Y 2,Q1 2014,3/27/2014,12.9,24.06,34.98,33.98,29,28,5.2,0.78,28,,3.3,3.1,2.4,3.9,
South Bay,City of San Mateo,Y 2,Q2 2014,4/1/2014,15.1,44.85,27.94,27.94,24,24,3,0.94,22,,1.3,1.2,1.9,4.5,
South Bay,City of San Mateo,Y 2,Q2 2014,4/23/2014,10.44,26.07,36.97,35.97,35,34,1.3,0.67,33,,3.2,3.1,3.2,5.8,
South Bay,City of San Mateo,Y 2,Q2 2014,5/7/2014,10.88,22.41,42.223,41.223,42,41,0.043,0.18,40,,3.6,3.5,3.2,3.4,
South Bay,City of San Mateo,Y 2,Q2 2014,5/21/2014,10.31,21.99,48.066,42.066,48,42,0.02,0.046,40,,4.8,3.6,3.3,80,
South Bay,City of San Mateo,Y 2,Q2 2014,6/10/2014,10.06,19.77,47.07,45.07,47,45,0.023,0.047,40,,3.3,3,3.4,5.7,
South Bay,City of San Mateo,Y 2,Q2 2014,6/25/2014,10.01,19.65,46.116,45.116,46,45,0.02,0.096,45,,3.9,3.8,3.5,4.6,
South Bay,City of San Mateo,Y 3,Q3 2014,7/8/2014,9.08,,38,,38,,0.24,,36,,3.2,,2.8,,
South Bay,City of San Mateo,Y 3,Q3 2014,7/30/2014,8.91,,47,,47,,0.04,,44,,4.1,,2.5,,
South Bay,City of San Mateo,Y 3,Q3 2014,8/12/2014,9.13,,42.1,,42,,0.09,,39,,3.2,,3,,
South Bay,City of San Mateo,Y 3,Q3 2014,8/25/2014,8.75,,43.1,,43,,0.06,,44,,4.2,,2.5,,
South Bay,City of San Mateo,Y 3,Q3 2014,9/9/2014,8.88,,45,,45,,0.095,,37,,3.4,,3.7,,
South Bay,City of San Mateo,Y 3,Q3 2014,9/25/2014,9.15,,60,,60,,0.19,,49,,4.2,,3.3,,
South Bay,City of San Mateo,Y 3,Q4 2014,10/7/2014,8.68,,47,,47,,0.16,,38,,3.2,,2.5,,
South Bay,City of San Mateo,Y 3,Q4 2014,10/21/2014,8.84,,42,,42,,0.29,,35,,3.1,,3.3,,
South Bay,City of San Mateo,Y 3,Q4 2014,11/5/2014,8.72,,48,,46,,1.8,,39,,3.5,,2.9,,
South Bay,City of San Mateo,Y 3,Q4 2014,11/24/2014,9.43,,46,,45,,1.2,,36,,3.2,,3.1,,
South Bay,City of San Mateo,Y 3,Q4 2014,12/2/2014,12.57,,38,,34,,4.5,,29,,2.9,,1.8,,
South Bay,City of San Mateo,Y 3,Q4 2014,12/16/2014,40.42,,16,,12,,4.16,,5.9,,1,,0.29,,
South Bay,City of San Mateo,Y 3,Q1 2015,2/3/2015,9.76,,36,,35,,1,,30,,2.7,,2.7,,
South Bay,City of San Mateo,Y 3,Q1 2015,2/23/2015,10.35,,37,,37,,0.4,,31,,2.8,,1.8,,
South Bay,City of San Mateo,Y 3,Q1 2015,3/10/2015,10.32,,42,,42,,0.1,,38,,3.5,,2.9,,
South Bay,City of San Mateo,Y 3,Q1 2015,3/25/2015,9.52,,42,,42,,0.1,,39,,3.1,,3,,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q3 2012,7/19/2012,1.979,3.6,19.32,18.12,4.9,3.7,14,0.42,2.6,,5.3,4.4,4.1,18,Temperatures are talek at the time the composites are started ar at the time of grabs
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q3 2012,8/9/2012,1.868,3.6,20.43,19.43,5,4,15,0.43,2.4,,4.8,5.4,5.1,20,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q3 2012,9/24/2012,2.086,3.8,20.75,19.75,6.2,5.2,14,0.55,3.5,,5.4,5.3,4.9,20,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q4 2012,10/2/2012,1.897,3.9,21.37,20.67,5.9,5.2,15,0.47,3.6,,5.5,5,5.4,23,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q4 2012,11/13/2012,2.039,4.1,29.73,28.33,9.2,7.8,20,0.53,6.4,,5,4.3,4.3,18,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q4 2012,12/13/2012,2.834,5.2,22.95,21.05,5.5,3.6,17,0.45,3.5,,3.4,3.2,2.8,23,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q1 2013,1/10/2013,2.78,4.91,29.13,27.63,9.6,8.1,19,0.53,7.1,,3.8,3.1,3.1,31,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q1 2013,2/7/2013,2.489,5.31,34.48,31.78,8.9,6.2,25,0.58,5.7,,4.7,4.6,4.2,35,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q1 2013,2/19/2013,2.662,5.9,29.303,28.203,7.3,6.2,22,0.003,4.5,,4.8,4.6,4.4,21,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q1 2013,3/13/2013,2.075,3.57,36.7,34.6,12,9.9,24,0.7,9.1,,6,5,4.8,24,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q1 2013,3/20/2013,2.68,5.23,30.97,27.17,7.5,3.7,23,0.47,4.8,,5.5,4.9,4.6,16,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q2 2013,4/16/2013,2.063,4.34,27.55,24.95,7.1,4.5,20,0.45,3.3,,5,4.5,4.3,10,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q2 2013,5/2/2013,1.925,4.5,30.39,28.69,7,5.3,23,0.39,4,,4.8,4.2,4.7,19,
Central Bay,Sewerage Agency of Southern Marin,Y 1,Q2 2013,6/6/2013,1.977,4.31,43.58,40.58,21,18,22,0.58,15,,6.5,5.7,5.5,36,
